,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
20821,B000001839,서울동답초등학교,초등학교,1984-05-23,공립,본교,운영,서울특별시 동대문구 답십리동 2-24,서울특별시 동대문구 답십리로60길 12,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-09-30,37.5715014215,127.0640340943,2022-03-24,C738100,청주대학교 지방교육재정연구원
20827,B000011973,대진고등학교,고등학교,1985-10-24,사립,본교,운영,서울특별시 노원구 하계동 55-5,서울특별시 노원구 공릉로62가길 47,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-09-30,37.6378068538,127.0760900225,2022-03-24,C738100,청주대학교 지방교육재정연구원
20831,B000008117,진관중학교,중학교,2008-09-01,공립,본교,운영,서울특별시 은평구 진관동 16,서울특별시 은평구 진관4로 36,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2021-09-30,37.6442556363,126.9257276576,2022-03-24,C738100,청주대학교 지방교육재정연구원
20838,B000002244,서울월정초등학교,초등학교,1982-04-23,공립,본교,운영,서울특별시 강서구 화곡동 374-1,서울특별시 강서구 월정로 176,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-09-30,37.5349941902,126.8362935777,2022-03-24,C738100,청주대학교 지방교육재정연구원
20842,B000002106,숭의초등학교,초등학교,1966-02-25,사립,본교,운영,서울특별시 중구 예장동 8-3,서울특별시 중구 소파로2길 10,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2021-09-30,37.5578530747,126.9874816055,2022-03-24,C738100,청주대학교 지방교육재정연구원
20856,B000013460,용문고등학교,고등학교,1946-10-12,사립,본교,운영,서울특별시 성북구 안암동2가 96-1,서울특별시 성북구 고려대로17가길 46,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2021-09-30,37.5886903262,127.0246607952,2022-03-24,C738100,청주대학교 지방교육재정연구원
20861,B000022766,마곡중학교,중학교,2015-03-01,공립,본교,운영,서울특별시 강서구 마곡동 731-73,서울특별시 강서구 마곡중앙5로 58,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-09-30,37.56790712,126.8214009267,2022-03-24,C738100,청주대학교 지방교육재정연구원
20871,B000002247,서울등명초등학교,초등학교,1995-12-06,공립,본교,운영,서울특별시 강서구 등촌동 690-2,서울특별시 강서구 강서로56나길 34,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2021-09-30,37.5608944503,126.8423822268,2022-03-24,C738100,청주대학교 지방교육재정연구원
20877,B000012047,성보고등학교,고등학교,1982-03-04,사립,본교,운영,서울특별시 관악구 신림동 1690,서울특별시 관악구 남부순환로156길 39,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2021-09-30,37.4807283676,126.9209573263,2022-03-24,C738100,청주대학교 지방교육재정연구원
20880,B000008207,불암중학교,중학교,1993-03-01,공립,본교,운영,서울특별시 노원구 하계동 288-3,서울특별시 노원구 한글비석로5길 45,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-09-30,37.6457354719,127.0734571893,2022-03-24,C738100,청주대학교 지방교육재정연구원
20887,B000011291,대동세무고등학교,고등학교,1925-04-18,사립,본교,운영,서울특별시 종로구 계동 35,서울특별시 종로구 계동길 84-10,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2021-09-30,37.581582731,126.9879513161,2022-03-24,C738100,청주대학교 지방교육재정연구원
20888,B000008188,대영중학교,중학교,1988-05-02,공립,본교,운영,서울특별시 영등포구 신길동 342-49,서울특별시 영등포구 도림로80가길 14,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2021-09-30,37.5034378363,126.9052080158,2022-03-24,C738100,청주대학교 지방교육재정연구원
20891,B000011947,신현고등학교,고등학교,2004-03-02,공립,본교,운영,서울특별시 중랑구 상봉동 482,서울특별시 중랑구 봉화산로 174,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-09-30,37.6052490449,127.0929499341,2022-03-24,C738100,청주대학교 지방교육재정연구원
20896,B000008198,효문중학교,중학교,2006-03-01,공립,본교,운영,서울특별시 도봉구 쌍문동 468,서울특별시 도봉구 우이천로 432,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2021-09-30,37.6526987118,127.0184004627,2022-03-24,C738100,청주대학교 지방교육재정연구원
20899,B000001956,서울고산초등학교,초등학교,1991-10-29,공립,본교,운영,서울특별시 구로구 고척동 76-10,서울특별시 구로구 중앙로 6,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2021-09-30,37.4989725505,126.8647727091,2022-03-24,C738100,청주대학교 지방교육재정연구원
20903,B000013457,면목고등학교,고등학교,1982-11-30,공립,본교,운영,서울특별시 중랑구 면목동 77,서울특별시 중랑구 용마산로72길 36-14,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2021-09-30,37.5846634085,127.0972706404,2022-03-24,C738100,청주대학교 지방교육재정연구원
