,name,latitude,longitude,address,review,savecount,visitorreviewscore
84,셀렉티드마롱 강남역점,37.4961927,127.0309070,서울 강남구 테헤란로4길 37 1F,393,"5,000",4.95
85,요그앤오트,37.5059997,127.0578681,서울 강남구 테헤란로82길 14 1층,77,500,
86,정식카페,37.5256455,127.0410979,서울 강남구 선릉로158길 11 1F,363,"23,000",
87,브라이언스커피,37.4839308,127.0457882,서울 강남구 논현로26길 46,"3,044","21,000",
88,원아베뉴,37.4998944,127.0304055,"서울 강남구 테헤란로7길 11 1층, B1층",433,"7,000",4.56
89,설빙 강남역점,37.5010920,127.0271547,서울 강남구 테헤란로1길 42 1층,"1,502",800,4.19
90,비파티세리,37.5220169,127.0232793,서울 강남구 압구정로14길 36 인자빌딩 1-4층 비파티세리,"1,776","25,000",4.44
91,커먼위켄드,37.5028634,127.0274103,서울 강남구 봉은사로6길 34 스타제이빌딩 1층 커먼위켄드,202,"6,000",
92,플디 도산점,37.5272633,127.0346097,서울 강남구 압구정로42길 24-5 로비스빌딩 4층,294,"15,000",
93,카페 마당,37.5227608,127.0352866,서울 강남구 도산대로45길 7 에르메스도산파크,336,"11,000",4.46
94,펠트커피 도산공원점,37.5256646,127.0354632,서울 강남구 언주로164길 23,596,"25,000",4.39
95,폴인팬케이크 강남점,37.5031400,127.0274999,서울 강남구 봉은사로6길 29 매사빌딩 1층,731,"12,000",4.38
96,버터앤쉘터,37.5194960,127.0528825,서울 강남구 학동로 513 1층 7호,225,"3,000",
97,베이커리로컬 강남역점,37.5022179,127.0270075,서울 강남구 강남대로102길 15,"1,578","3,000",4.41
98,소적두 압구정점,37.5279380,127.0368300,서울 강남구 압구정로46길 5-2 원일빌딩 1층,534,"3,000",4.59
99,세시셀라 도산공원점,37.5231585,127.0361490,서울 강남구 도산대로45길 10-4 삼경빌딩 1층,998,"29,000",4.45
100,시트롱,37.4843004,127.0464625,서울 강남구 논현로26길 56 1층,179,"7,000",4.47
101,클로리스 역삼 GFC점,37.5000319,127.0362599,서울 강남구 테헤란로 152 강남파이낸스센터 지하1층,"1,649","8,000",4.51
102,쇼토,37.5238649,127.0243966,서울 강남구 압구정로18길 14-6 1층,358,"19,000",4.48
103,미미미가든카페,37.5238228,127.0411219,서울 강남구 도산대로 417 1층,399,"3,000",4.26
104,배스킨라빈스 BROWN청담점,37.5230954,127.0376913,서울 강남구 도산대로 327,"2,545","7,000",4.49
105,타르틴베이커리 도산점,37.5259295,127.0355063,서울 강남구 언주로168길 24,"1,748","26,000",4.38
106,홍팥집 세곡점,37.4631221,127.1036554,서울 강남구 헌릉로570길 34,747,"1,000",4.48
107,껠끄쇼즈,37.4969632,127.0566731,서울 강남구 도곡로70길 5,597,"27,000",4.58
108,보스켓,37.5051733,127.0311022,서울 강남구 봉은사로20길 18,462,"14,000",4.67
109,바게트케이,37.5003416,127.0414831,서울 강남구 테헤란로34길 21-10,"1,395","19,000",4.48
110,기욤 청담점,37.5243500,127.0409469,서울 강남구 선릉로152길 17,921,"14,000",4.35
111,노아베이커리 압구정점,37.5268033,127.0294304,서울 강남구 압구정로30길 9,"2,840","8,000",4.51
112,김영모과자점 도곡타워점,37.4874024,127.0513862,서울 강남구 언주로30길 10 현대비젼21,"4,463","7,000",4.46
113,수목금토 카페,37.5145056,127.0254989,서울 강남구 강남대로136길 63 수목금토 1층,286,"18,000",4.53
114,스템커피,37.5116621,127.0594275,서울 강남구 영동대로 513 메가박스 지하 2층,"2,830","7,000",4.41
115,카페마마스 코엑스점,37.5130928,127.0598122,서울 강남구 영동대로 517 P105호,"3,100","3,000",4.36
116,빨라쪼델프레도 코엑스몰점,37.5114725,127.0586730,서울 강남구 봉은사로 524 코엑스몰 B1 H119,789,500,4.4
117,어퍼앤언더,37.5027449,127.0276848,"서울 강남구 강남대로102길 28 지하1층, 1층, 2층",271,"10,000",
118,리퍼크,37.4971261,127.0287132,서울 강남구 강남대로 382 메리츠타워 1층,807,"9,000",4.52
119,카페온화 강남점,37.5023853,127.0271753,서울 강남구 봉은사로4길 37 2층,496,"3,000",4.63
120,로브니,37.5027810,127.0488834,서울 강남구 선릉로85길 8,496,"12,000",4.6
121,식물성 도산,37.5254579,127.0342459,서울 강남구 압구정로42길 54 1층,208,"15,000",4.78
122,르뱅룰즈 선릉점,37.5074197,127.0537062,서울 강남구 삼성로95길 27 영창빌딩 1층 LEVAINRULES,555,"5,000",
123,쎄쎄종,37.5206769,127.0380596,서울 강남구 언주로146길 39 주영빌딩1층,321,"21,000",4.61
124,밀탑 수서역점,37.4871697,127.1028660,서울 강남구 광평로 280 로즈데일오피스텔 1층 123호,338,800,4.79
125,하프웨이,37.5186488,127.0237027,서울 강남구 강남대로152길 55 태영빌딩 지하1층,25,300,
126,피르마,37.5209059,127.0259005,서울 강남구 논현로153길 28 1층,261,"14,000",4.45
127,RPM,37.5266832,127.0390578,서울 강남구 언주로172길 64 1층,321,"13,000",4.47
128,빙빙빙,37.5231778,127.0449130,서울 강남구 삼성로149길 32,189,"1,000",4.51
129,리마크스,37.5264166,127.0339379,서울 강남구 언주로168길 6 1층,133,"14,000",
130,더플레이트디저트,37.5253216,127.0288651,서울 강남구 논현로 854 안다즈강남 B1 B101호,416,"5,000",4.45
131,르알래스카 가로수길 본점,37.5233985,127.0233409,서울 강남구 압구정로14길 15,666,"10,000",4.4
132,홍차가게 청담,37.5189387,127.0546392,서울 강남구 삼성로120길 52-1 1층,215,"7,000",4.51
133,아방베이커리 센터필드점,37.5028813,127.0413566,서울 강남구 테헤란로 231 센터필드 웨스트동 1층 아방 베이커리,472,"1,000",
134,맷카페,37.5138900,127.0406210,서울 강남구 학동로50길 42,358,"13,000",4.52
135,르뱅룰즈,37.5155246,127.0423163,서울 강남구 선릉로 660 브라운스톤 레전드 1층 105호,669,"15,000",4.62
136,테일러커피 신사점,37.5201664,127.0212218,서울 강남구 강남대로160길 31,679,"17,000",4.5
137,37.5 시그니처 가로수길,37.5201329,127.0226793,"서울 강남구 가로수길 31-3 3,4층",96,"1,000",
138,카페 노티드 신사 옐로우바스켓 팝업,37.5216406,127.0218358,서울 강남구 압구정로10길 30-1 지하1층,845,"4,000",
139,79파운야드 도산공원점,37.5248097,127.0368234,서울 강남구 선릉로153길 32 1층,656,"7,000",4.45
140,가배도 코엑스점,37.5125123,127.0588789,서울 강남구 영동대로 513 코엑스 1F E001A,"1,907","3,000",4.38
141,커피스니퍼 센터필드점,37.5028776,127.0413499,서울 강남구 테헤란로 231 센터필드 지상 2층 E207호 커피스니퍼,518,"5,000",4.57
142,로우앤하이,37.5207970,127.0242494,서울 강남구 논현로157길 55 1층,141,"1,000",4.5
143,플라워베이커리 가로수길점,37.5189603,127.0210534,서울 강남구 압구정로2길 45 1층 플라워베이커리,"1,386","7,000",4.41
144,까치화방 강남역점,37.5032356,127.0267278,서울 강남구 봉은사로4길 23 1층,877,"9,000",4.43
145,TWG TEA 압구정 안다즈점,37.5251589,127.0287296,서울 강남구 논현로 854 안다즈호텔 상업시설건물 1층,456,"4,000",4.5
146,오바게트,37.5114292,127.0440239,서울 강남구 선릉로112길 5,8,"3,000",
147,나따오비까 대치점,37.4982264,127.0543712,서울 강남구 선릉로64길 26,467,"2,000",4.53
148,외계인방앗간 본점,37.5181540,127.0269169,서울 강남구 논현로149길 19 정암빌라,412,"8,000",4.48
149,에드엣,37.5220552,127.0215657,서울 강남구 압구정로10길 30-9 지하1층,209,"3,000",4.84
150,카페 아뮈제 도산,37.5249666,127.0361881,서울 강남구 압구정로46길 55 1층,571,"10,000",4.61
151,mmn,37.5209535,127.0439900,서울 강남구 도산대로66길 39,116,"10,000",
152,빌리엔젤 강남역점,37.5014678,127.0269956,서울 강남구 테헤란로1길 48 강남ELS빌딩,"1,777","2,000",4.33
153,핀치브런치바,37.5214864,127.0205566,서울 강남구 압구정로4길 19,87,"7,000",4.89
154,센트레,37.5233419,127.0371013,서울 강남구 도산대로49길 9 스타크빌딩 1층 센트레청담,92,"2,000",
155,플링크 압구정,37.5277185,127.0316979,서울 강남구 언주로173길 23 1층,246,"4,000",4.45
