tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floor_estate,floor_buliding,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,rest_N,day_pop,night_pop,score,2nPrc,평당가격,가성비,가성비_Rank,Score_Rank,Total_Rank
월세,120,"2,000",37,B1,3,37.546367,126.920037,7825,21,206,39,6,1,289.9847021446463,2,49,508151.67,471457.29,23326668.47877229,48800000.0,1318918.9189189188,0.0059328893442622,164,134,140.0
월세,150,"1,500",90,3,4,37.547714,126.919229,9743,30,250,46,8,1,319.4058788185963,2,59,508151.67,471457.29,22543190.138269797,51000000.0,566666.6666666666,0.0171935294117647,8,175,141.6
월세,500,"8,000",113,1,3,37.54945,126.919335,9743,31,252,49,8,2,365.1191846458544,2,73,508151.67,471457.29,23343238.226745445,200000000.0,1769911.5044247787,0.005504795,187,133,143.8
월세,270,"3,000",92,4,5,37.550691,126.918991,9743,30,249,51,6,2,474.6488869156876,2,76,508151.67,471457.29,22608186.97986488,94800000.0,1030434.7826086956,0.0094552320675105,49,170,145.8
월세,220,"3,000",53,3,5,37.548959,126.916815,8571,31,236,42,7,1,276.9069263700415,2,70,508151.67,471457.29,23269249.8373276,82800000.0,1562264.150943396,0.005486268115942,189,137,147.4
월세,278,"2,000",76,3,3,37.55039,126.920937,7549,34,236,51,6,1,341.92132750582084,0,69,508151.67,471457.29,23011938.389815506,86720000.0,1141052.6315789474,0.0066158210332103,136,151,148.0
월세,80,"1,000",13,1,4,37.550491,126.91957,9743,32,249,47,7,1,423.0005528176371,2,72,508151.67,471457.29,24242159.204868764,29200000.0,2246153.846153846,0.0043376369863013,278,116,148.4
월세,190,"3,000",42,1,2,37.541873,126.951962,2883,42,1,7,6,1,240.73393394177108,2,11,508151.67,471457.29,37160695.80959536,75600000.0,1800000.0,0.0016016666666666,743,1,149.4
월세,200,"2,000",85,3,4,37.541562,126.950477,4384,47,2,7,7,2,290.249760682846,4,12,508151.67,471457.29,23193906.33872474,68000000.0,800000.0,0.00548,191,140,150.2
월세,500,"8,000",88,2,8,37.541747,126.952856,7754,43,1,5,6,1,276.02128390472853,4,9,508151.67,471457.29,25257604.878984857,200000000.0,2272727.272727273,0.00341176,381,93,150.60000000000002
월세,200,"3,000",100,B1,5,37.55668,126.925332,5756,35,129,53,7,1,57.09549659675649,2,43,508151.67,471457.29,22695663.10998812,78000000.0,780000.0,0.0073794871794871,105,166,153.8
월세,340,"5,000",99,2,5,37.550149,126.920499,7825,31,246,51,7,1,340.91249312793525,2,70,508151.67,471457.29,22887658.40376981,131600000.0,1329292.9292929294,0.0058865881458966,166,152,154.8
월세,260,"3,000",81,2,2,37.549445,126.918538,5890,28,252,49,8,2,423.0775138888008,2,76,508151.67,471457.29,23141951.97096774,92400000.0,1140740.740740741,0.0051633116883116,209,142,155.4
월세,225,"4,000",82,1,5,37.553186,126.920239,9360,40,151,43,4,0,635.5177791003047,2,56,508151.67,471457.29,22540252.45190705,94000000.0,1146341.463414634,0.0081651063829787,80,176,156.8
월세,850,"1억 5,000",132,1,6,37.549147,126.919457,9743,31,250,48,9,1,338.9706455606653,2,74,508151.67,471457.29,24413773.478434093,354000000.0,2681818.1818181816,0.0036329830508474,350,110,158.0
월세,190,"3,500",78,B1,4,37.549812,126.920767,7825,31,242,52,6,1,296.8268509809984,2,68,508151.67,471457.29,22568491.974436954,80600000.0,1033333.3333333334,0.0075725806451612,94,174,158.00000000000003
월세,280,"4,000",68,2,2,37.542267,126.951731,2736,42,1,7,6,1,195.08788689159647,4,11,508151.67,471457.29,28940368.694311082,107200000.0,1576470.5882352942,0.0017355223880597,701,23,158.60000000000002
월세,290,"5,000",59,3,4,37.55547,126.924547,15320,40,132,44,7,1,205.10633659218223,2,41,508151.67,471457.29,22479753.04881288,119600000.0,2027118.6440677969,0.007557525083612,95,179,162.20000000000002
