name,latitude,longitude,address,review,savecount,visitorreviewscore,flow_pop
젠제로,37.5153115,127.0432696,서울 강남구 선릉로126길 14 예우빌딩 1층,"2,275","43,000",4.62,2710
더달달,37.503213,127.0284724,서울 강남구 강남대로102길 38-6,989,"8,000",4.51,494
도산맘마미아,37.525931,127.0346732,서울 강남구 압구정로42길 45,"2,150","45,000",4.36,14105
퀸즈파크 청담점,37.5259917,127.0416499,서울 강남구 압구정로60길 22,879,"13,000",4.4,768
어글리스토브 신논현강남역점,37.5008038,127.0282118,서울 강남구 강남대로98길 20,"4,826","13,000",4.34,2147
세모넛,37.5253575,127.0385795,서울 강남구 선릉로155길 13 1층,49,"1,000",,3338
블루보틀 압구정 카페,37.5257242,127.0287719,"서울 강남구 논현로 854 101호, 201호",654,"7,000",,6812
버터풀앤크리멀러스 현대백화점 무역센터점,37.5086329,127.0598879,서울 강남구 테헤란로 517 지하 1층 식품관,144,"1,000",4.53,3953
샤이바나 코엑스점,37.5120527,127.0593545,서울 강남구 영동대로 513 코엑스몰 B1 I108,"1,519","4,000",4.19,3181
웨이크앤베이크 청담,37.5257975,127.0346198,서울 강남구 압구정로42길 47,778,"29,000",4.42,14105
타우너스 에스프레소 바,37.4984361,127.0398212,서울 강남구 테헤란로28길 41 타우너스 1층,212,"11,000",,4097
드코닝 코엑스몰점,37.5100146,127.0616181,서울 강남구 영동대로 513 코엑스몰 B1F C103호,"1,620","2,000",4.38,3953
서울북카페 욕망의북카페,37.5038646,127.0282743,"서울 강남구 강남대로102길 45 2층, 3층",616,"11,000",4.88,494
랑데자뷰 강남점,37.502719,127.0279931,서울 강남구 봉은사로6길 39 1층,907,"21,000",4.38,494
아우어베이커리 도산본점,37.5235686,127.0368457,서울 강남구 도산대로45길 10-11 JYC2빌딩,"4,075","29,000",4.45,8657
카페드리옹 코엑스점,37.5116648,127.0594201,서울 강남구 영동대로 513 B1층 아이105호,"1,184","3,000",4.62,3181
천장지구,37.5221686,127.0383651,서울 강남구 언주로150길 51 2층,218,"4,000",4.7,7318
C27 가로수길점,37.5207197,127.0233054,서울 강남구 도산대로15길 39,"1,827","16,000",4.27,6549
리사르커피 청담점,37.527093,127.0484457,서울 강남구 도산대로99길 60,562,"36,000",4.61,2276
휴가,37.5103131,127.0304478,서울 강남구 논현로119길 16,68,"1,000",,3506
에뚜왈,37.5213093,127.0222063,서울 강남구 압구정로10길 35 지하1층,"1,267","39,000",4.49,7239
소진담 신사점,37.5224955,127.0242235,"서울 강남구 논현로161길 51 B1, 1F","2,714","23,000",4.49,9074
앙꼬,37.5152173,127.0428269,서울 강남구 학동로56길 32 앙꼬,308,"4,000",4.48,3076
청수당갤러리,37.5206435,127.0239065,서울 강남구 도산대로15길 32-4 1층,"1,201","34,000",4.44,7627
버터핑거팬케익스 청담점,37.5242837,127.0404415,서울 강남구 선릉로152길 11,820,"11,000",4.22,2327
르브런쉭 대치점,37.5028423,127.0591392,서울 강남구 삼성로 350 서울빌딩,510,"7,000",4.39,2731
카페 노티드 삼성,37.5100993,127.0640471,서울 강남구 테헤란로103길 9 1층,"9,090","20,000",4.5,1537
트리아농,37.5203677,127.0446112,서울 강남구 학동로59길 43,378,"24,000",4.39,3019
문화시민 서울,37.4910993,127.0343687,서울 강남구 강남대로62길 35 2층,53,"9,000",,1665
벙커컴퍼니 압구정점,37.5263818,127.0312294,"서울 강남구 언주로167길 23 단독주택 1, 2층",764,"11,000",4.58,3042
카페413프로젝트,37.5023423,127.0344847,서울 강남구 논현로97길 19-11,571,"18,000",4.45,1310
웜브라운 베이커리카페,37.5222311,127.0249945,서울 강남구 논현로159길 41 1층,150,"8,000",,3822
마망갸또 신사점,37.5223262,127.0215204,서울 강남구 압구정로10길 30-12,246,"7,000",4.36,6505
미드타운,37.5200702,127.0224319,서울 강남구 도산대로11길 40,260,"14,000",5.0,2070
당옥,37.5201123,127.0204529,서울 강남구 강남대로162길 22 1층,403,"22,000",4.32,1986
PEACH,37.5259096,127.036214,서울 강남구 언주로168길 32 1층,219,"17,000",4.41,5844
배드라핀,37.5027377,127.0337653,서울 강남구 논현로97길 23 1층 카페,45,400,,1609
로흐,37.5008565,127.0320046,서울 강남구 테헤란로13길 17 1층 로흐,208,"7,000",4.79,7478
겟썸커피 Downstairs,37.5030907,127.0272796,서울 강남구 봉은사로6길 30 지하 1층,850,"16,000",4.51,1421
이치서울,37.519254,127.0205514,서울 강남구 강남대로158길 21 2층,218,"18,000",4.37,1398
아방베이커리 역삼점,37.4951941,127.0393206,"서울 강남구 논현로 337 스톤엘리시온 1층, 2층",244,"2,000",,2536
식물학,37.518427,127.021653,서울 강남구 강남대로154길 33 1층 카페 식물학,604,"13,000",4.43,1357
웨스트커프하우스,37.5220256,127.0384832,서울 강남구 도산대로54길 10 1층 웨스트커프하우스,127,500,,7296
브릭샌드 강남역점,37.4967517,127.0281362,서울 강남구 강남대로 396 강남역 신분당선 지하1층,173,"1,000",,12356
윌비 가로수길점,37.519258,127.0208324,서울 강남구 강남대로158길 26 M스페이스빌딩 1층 101호,214,"10,000",4.59,1357
랜디스도넛 가로수길점,37.5193181,127.0239764,서울 강남구 도산대로15길 16,"2,838","16,000",4.44,2337
셀렉티드마롱 강남역점,37.4961927,127.030907,서울 강남구 테헤란로4길 37 1F,393,"5,000",4.95,12845
요그앤오트,37.5059997,127.0578681,서울 강남구 테헤란로82길 14 1층,77,500,,35427
정식카페,37.5256455,127.0410979,서울 강남구 선릉로158길 11 1F,363,"23,000",,768
브라이언스커피,37.4839308,127.0457882,서울 강남구 논현로26길 46,"3,044","21,000",,7186
원아베뉴,37.4998944,127.0304055,"서울 강남구 테헤란로7길 11 1층, B1층",433,"7,000",4.56,6632
설빙 강남역점,37.501092,127.0271547,서울 강남구 테헤란로1길 42 1층,"1,502",800,4.19,659
비파티세리,37.5220169,127.0232793,서울 강남구 압구정로14길 36 인자빌딩 1-4층 비파티세리,"1,776","25,000",4.44,8992
커먼위켄드,37.5028634,127.0274103,서울 강남구 봉은사로6길 34 스타제이빌딩 1층 커먼위켄드,202,"6,000",,1421
플디 도산점,37.5272633,127.0346097,서울 강남구 압구정로42길 24-5 로비스빌딩 4층,294,"15,000",,3062
카페 마당,37.5227608,127.0352866,서울 강남구 도산대로45길 7 에르메스도산파크,336,"11,000",4.46,6850
펠트커피 도산공원점,37.5256646,127.0354632,서울 강남구 언주로164길 23,596,"25,000",4.39,21966
폴인팬케이크 강남점,37.50314,127.0274999,서울 강남구 봉은사로6길 29 매사빌딩 1층,731,"12,000",4.38,495
버터앤쉘터,37.519496,127.0528825,서울 강남구 학동로 513 1층 7호,225,"3,000",,2815
베이커리로컬 강남역점,37.5022179,127.0270075,서울 강남구 강남대로102길 15,"1,578","3,000",4.41,4092
소적두 압구정점,37.527938,127.03683,서울 강남구 압구정로46길 5-2 원일빌딩 1층,534,"3,000",4.59,3588
세시셀라 도산공원점,37.5231585,127.036149,서울 강남구 도산대로45길 10-4 삼경빌딩 1층,998,"29,000",4.45,6775
시트롱,37.4843004,127.0464625,서울 강남구 논현로26길 56 1층,179,"7,000",4.47,7186
클로리스 역삼 GFC점,37.5000319,127.0362599,서울 강남구 테헤란로 152 강남파이낸스센터 지하1층,"1,649","8,000",4.51,13706
쇼토,37.5238649,127.0243966,서울 강남구 압구정로18길 14-6 1층,358,"19,000",4.48,9726
미미미가든카페,37.5238228,127.0411219,서울 강남구 도산대로 417 1층,399,"3,000",4.26,9131
배스킨라빈스 BROWN청담점,37.5230954,127.0376913,서울 강남구 도산대로 327,"2,545","7,000",4.49,8657
타르틴베이커리 도산점,37.5259295,127.0355063,서울 강남구 언주로168길 24,"1,748","26,000",4.38,21966
홍팥집 세곡점,37.4631221,127.1036554,서울 강남구 헌릉로570길 34,747,"1,000",4.48,131
껠끄쇼즈,37.4969632,127.0566731,서울 강남구 도곡로70길 5,597,"27,000",4.58,3077
보스켓,37.5051733,127.0311022,서울 강남구 봉은사로20길 18,462,"14,000",4.67,2166
바게트케이,37.5003416,127.0414831,서울 강남구 테헤란로34길 21-10,"1,395","19,000",4.48,4887
기욤 청담점,37.52435,127.0409469,서울 강남구 선릉로152길 17,921,"14,000",4.35,2327
노아베이커리 압구정점,37.5268033,127.0294304,서울 강남구 압구정로30길 9,"2,840","8,000",4.51,3874
김영모과자점 도곡타워점,37.4874024,127.0513862,서울 강남구 언주로30길 10 현대비젼21,"4,463","7,000",4.46,5229
수목금토 카페,37.5145056,127.0254989,서울 강남구 강남대로136길 63 수목금토 1층,286,"18,000",4.53,1896
스템커피,37.5116621,127.0594275,서울 강남구 영동대로 513 메가박스 지하 2층,"2,830","7,000",4.41,3181
카페마마스 코엑스점,37.5130928,127.0598122,서울 강남구 영동대로 517 P105호,"3,100","3,000",4.36,3181
빨라쪼델프레도 코엑스몰점,37.5114725,127.058673,서울 강남구 봉은사로 524 코엑스몰 B1 H119,789,500,4.4,3181
어퍼앤언더,37.5027449,127.0276848,"서울 강남구 강남대로102길 28 지하1층, 1층, 2층",271,"10,000",,494
리퍼크,37.4971261,127.0287132,서울 강남구 강남대로 382 메리츠타워 1층,807,"9,000",4.52,19708
카페온화 강남점,37.5023853,127.0271753,서울 강남구 봉은사로4길 37 2층,496,"3,000",4.63,1421
로브니,37.502781,127.0488834,서울 강남구 선릉로85길 8,496,"12,000",4.6,10948
식물성 도산,37.5254579,127.0342459,서울 강남구 압구정로42길 54 1층,208,"15,000",4.78,14143
르뱅룰즈 선릉점,37.5074197,127.0537062,서울 강남구 삼성로95길 27 영창빌딩 1층 LEVAINRULES,555,"5,000",,22085
쎄쎄종,37.5206769,127.0380596,서울 강남구 언주로146길 39 주영빌딩1층,321,"21,000",4.61,7296
밀탑 수서역점,37.4871697,127.102866,서울 강남구 광평로 280 로즈데일오피스텔 1층 123호,338,800,4.79,463
하프웨이,37.5186488,127.0237027,서울 강남구 강남대로152길 55 태영빌딩 지하1층,25,300,,9798
피르마,37.5209059,127.0259005,서울 강남구 논현로153길 28 1층,261,"14,000",4.45,3822
RPM,37.5266832,127.0390578,서울 강남구 언주로172길 64 1층,321,"13,000",4.47,2525
빙빙빙,37.5231778,127.044913,서울 강남구 삼성로149길 32,189,"1,000",4.51,1968
리마크스,37.5264166,127.0339379,서울 강남구 언주로168길 6 1층,133,"14,000",,8767
더플레이트디저트,37.5253216,127.0288651,서울 강남구 논현로 854 안다즈강남 B1 B101호,416,"5,000",4.45,6812
르알래스카 가로수길 본점,37.5233985,127.0233409,서울 강남구 압구정로14길 15,666,"10,000",4.4,9726
홍차가게 청담,37.5189387,127.0546392,서울 강남구 삼성로120길 52-1 1층,215,"7,000",4.51,2815
아방베이커리 센터필드점,37.5028813,127.0413566,서울 강남구 테헤란로 231 센터필드 웨스트동 1층 아방 베이커리,472,"1,000",,6203
맷카페,37.51389,127.040621,서울 강남구 학동로50길 42,358,"13,000",4.52,3992
르뱅룰즈,37.5155246,127.0423163,서울 강남구 선릉로 660 브라운스톤 레전드 1층 105호,669,"15,000",4.62,3076
테일러커피 신사점,37.5201664,127.0212218,서울 강남구 강남대로160길 31,679,"17,000",4.5,2052
37.5 시그니처 가로수길,37.5201329,127.0226793,"서울 강남구 가로수길 31-3 3,4층",96,"1,000",,2070
카페 노티드 신사 옐로우바스켓 팝업,37.5216406,127.0218358,서울 강남구 압구정로10길 30-1 지하1층,845,"4,000",,6505
79파운야드 도산공원점,37.5248097,127.0368234,서울 강남구 선릉로153길 32 1층,656,"7,000",4.45,8434
가배도 코엑스점,37.5125123,127.0588789,서울 강남구 영동대로 513 코엑스 1F E001A,"1,907","3,000",4.38,3181
커피스니퍼 센터필드점,37.5028776,127.0413499,서울 강남구 테헤란로 231 센터필드 지상 2층 E207호 커피스니퍼,518,"5,000",4.57,6203
로우앤하이,37.520797,127.0242494,서울 강남구 논현로157길 55 1층,141,"1,000",4.5,1784
플라워베이커리 가로수길점,37.5189603,127.0210534,서울 강남구 압구정로2길 45 1층 플라워베이커리,"1,386","7,000",4.41,1357
까치화방 강남역점,37.5032356,127.0267278,서울 강남구 봉은사로4길 23 1층,877,"9,000",4.43,4375
TWG TEA 압구정 안다즈점,37.5251589,127.0287296,서울 강남구 논현로 854 안다즈호텔 상업시설건물 1층,456,"4,000",4.5,6812
오바게트,37.5114292,127.0440239,서울 강남구 선릉로112길 5,8,"3,000",,2543
나따오비까 대치점,37.4982264,127.0543712,서울 강남구 선릉로64길 26,467,"2,000",4.53,5332
외계인방앗간 본점,37.518154,127.0269169,서울 강남구 논현로149길 19 정암빌라,412,"8,000",4.48,5481
에드엣,37.5220552,127.0215657,서울 강남구 압구정로10길 30-9 지하1층,209,"3,000",4.84,6505
카페 아뮈제 도산,37.5249666,127.0361881,서울 강남구 압구정로46길 55 1층,571,"10,000",4.61,8434
mmn,37.5209535,127.04399,서울 강남구 도산대로66길 39,116,"10,000",,2733
빌리엔젤 강남역점,37.5014678,127.0269956,서울 강남구 테헤란로1길 48 강남ELS빌딩,"1,777","2,000",4.33,659
핀치브런치바,37.5214864,127.0205566,서울 강남구 압구정로4길 19,87,"7,000",4.89,2070
센트레,37.5233419,127.0371013,서울 강남구 도산대로49길 9 스타크빌딩 1층 센트레청담,92,"2,000",,6775
플링크 압구정,37.5277185,127.0316979,서울 강남구 언주로173길 23 1층,246,"4,000",4.45,3025
수수커피 강남N타워점,37.4999326,127.0323679,서울 강남구 테헤란로 129 강남N타워 G층 2호 수수커피,521,"2,000",4.37,9731
인포메이션카페,37.4940797,127.0326772,서울 강남구 역삼로 121 1층,506,"4,000",4.45,2092
카멜커피 현대백화점 무역센터점,37.5086329,127.0598879,서울 강남구 테헤란로 517,17,100,,3953
우디집 도산점,37.5265635,127.0360333,서울 강남구 압구정로46길 32 삼일빌딩 2층 우디집,211,"6,000",4.56,5844
슬로우치즈,37.5223905,127.0469808,서울 강남구 삼성로145길 13 101호 청담동),299,"31,000",4.45,1968
테라로사 코엑스점,37.5116621,127.0594275,서울 강남구 영동대로 513 코엑스 1층 남2문 옆,"3,771","3,000",4.4,3181
평화다방 강남역점,37.4992113,127.028069,서울 강남구 강남대로94길 10 2층,"2,058","3,000",4.26,603
원퍼밀커피 신논현본점,37.5029237,127.0262415,서울 강남구 강남대로106길 7 1층,805,"1,000",4.86,1595
스크렘,37.5037272,127.0264689,서울 강남구 봉은사로4길 17 1F,339,"14,000",4.37,4375
나따오비까 신사점,37.5193591,127.0207114,서울 강남구 압구정로2길 37,529,"7,000",4.31,2052
카페캠프통,37.5270199,127.0352982,서울 강남구 압구정로42길 27 카페캠프통,602,"8,000",4.51,5844
아이엠지,37.523128,127.0361911,서울 강남구 도산대로45길 10-4 2층,22,"1,000",,6775
플롭,37.5178623,127.0210888,서울 강남구 강남대로154길 24 1층,80,"1,000",,1205
쿠스 다이닝,37.5240965,127.0370577,"서울 강남구 도산대로49길 17 , 1층 KUO'S",386,"5,000",4.37,8657
37.5 청담삼성점,37.5163986,127.0506156,서울 강남구 삼성로119길 8 2층,762,"1,000",4.7,2646
원더시티 뉴욕컵케이크,37.5116912,127.0214514,서울 강남구 강남대로 556 논현빌딩 1층,479,"7,000",4.45,1205
두넛샵,37.5273332,127.0359909,서울 강남구 언주로172길 28 1층,262,"11,000",4.35,5844
스탠다드시스템,37.5225903,127.0436034,서울 강남구 선릉로148길 48-5,224,"16,000",4.74,2444
빈스플,37.5026541,127.0273472,서울 강남구 강남대로102길 23 2층,661,"3,000",4.37,1421
펠어커피 강남포스코사거리점,37.5049249,127.0563256,서울 강남구 삼성로85길 11 롯데캐슬아파트상가 1층,509,"1,000",4.76,13330
맥파이앤타이거 신사티룸,37.5205582,127.0246529,서울 강남구 논현로153길 44 클레어스서울 2F 맥파이앤타이거 신사티룸,699,"15,000",4.87,1784
크리에잇쿠키 역삼점,37.5028936,127.0351778,서울 강남구 테헤란로25길 36,433,"6,000",4.53,1407
플레어비 도곡점,37.4834409,127.0449603,서울 강남구 논현로26길 33,870,"5,000",4.41,7186
카페 디올,37.5248135,127.04668,서울 강남구 압구정로 464 하우스 오브 디올 5층,635,"10,000",,1941
할리스 강남역점,37.4987097,127.0277783,서울 강남구 강남대로 402,"2,322",900,4.43,6516
홍콩다방 파르나스몰점,37.5086929,127.0604357,서울 강남구 테헤란로 521 지하1층 F-3b,422,400,4.54,3953
조선델리 더 부티크,37.5028813,127.0413486,서울 강남구 테헤란로 231 조선팰리스 24층,308,700,4.56,6203
소나,37.5207336,127.0216305,서울 강남구 강남대로162길 40 2층 SONA,240,"12,000",4.32,2070
카페 라미스콘 청담점,37.5253202,127.0389666,서울 강남구 도산대로53길 32,547,"4,000",4.37,3338
쁠로13,37.5160992,127.0223139,서울 강남구 도산대로8길 13 1층,774,"6,000",4.46,3602
아우어베이커리 청담사거리점,37.5252737,127.0488741,서울 강남구 압구정로79길 19 1층 아우어베이커리,780,"2,000",4.48,16323
투오프커피,37.4952709,127.0338389,서울 강남구 역삼로9길 20 1층,77,900,,3268
카페 델 꼬또네,37.5184289,127.0406206,서울 강남구 선릉로 711 1층 103호,11,"11,000",,1948
비테도산,37.5274813,127.039024,서울 강남구 선릉로161길 18 5층,10,"6,000",,3305
Neue Atmung,37.5202705,127.0259465,서울 강남구 도산대로23길 19 1층,489,"17,000",4.49,1507
에이치마켓,37.5202553,127.0399532,서울 강남구 선릉로 739,278,"3,000",3.98,2545
심재 도곡,37.4837427,127.0449339,서울 강남구 논현로28길 34 지상 1층,624,"4,000",4.46,7186
파이하우스,37.4979032,127.0549449,서울 강남구 선릉로62길 29 1층,245,"2,000",4.61,4829
더스노우 대치본점,37.5012142,127.0510113,서울 강남구 선릉로76길 4 코람벤처타운 1층,237,200,,3463
한남베르그 도산,37.5250136,127.0369198,서울 강남구 도산대로49길 31 1층 105호,57,"1,000",,8434
비건비거닝,37.5030383,127.0491231,서울 강남구 선릉로85길 6 호텔뉴브 1층 비건비거닝,65,"2,000",4.46,10948
해피해피케이크,37.5107674,127.0432183,서울 강남구 선릉로111길 5,297,"8,000",4.42,2262
원포셰,37.4835451,127.0461664,"서울 강남구 논현로26길 46-8 1층, 원포셰",72,"4,000",,7186
스타벅스 청담스타R점,37.525216,127.041827,서울 강남구 도산대로57길 24,"2,736","3,000",4.49,2166
브라운홀릭,37.5010465,127.0286912,서울 강남구 강남대로98길 25,567,"4,000",4.44,664
카페마마스 역삼점,37.4990213,127.0368151,서울 강남구 논현로85길 7 1F,"1,027","1,000",4.41,4240
에르제 도산,37.5268888,127.0361691,서울 강남구 압구정로46길 28 1층,188,"7,000",,5844
그릭그릭,37.5260021,127.0275825,서울 강남구 논현로175길 11 1층 103호,94,"1,000",4.3,3368
카페 공영,37.5195463,127.0502201,"서울 강남구 삼성로 710 1층, 2층(청담동)",40,400,,2070
레이브릭스,37.5205647,127.0244137,서울 강남구 논현로153길 46,445,"7,000",4.45,1784
르 사이트,37.5188759,127.0226198,서울 강남구 도산대로11길 22,625,"4,000",4.24,5518
바나프레소 강남역점,37.4988669,127.0295523,서울 강남구 테헤란로 113 바나프레소,"1,056",100,4.42,603
플랩잭팬트리 수서점,37.4707852,127.1094304,,178,"1,000",,124
브라운핸즈 도곡점,37.4839525,127.0460932,서울 강남구 논현로26길 48,514,"3,000",4.34,7186
젤라떼리아 도도 청담,37.5253599,127.0369897,서울 강남구 언주로164길 41 1층,194,"3,000",4.51,5844
브루주아,37.5155321,127.0337229,서울 강남구 논현로132길 40 1층,7,100,,2531
마이쏭,37.5233813,127.0357038,서울 강남구 도산대로45길 16-4 1층,302,"7,000",4.17,8486
미야갤러리카페,37.5191301,127.0223303,서울 강남구 도산대로11길 25 2F,520,"3,000",,1986
마르케,37.5088475,127.0230926,서울 강남구 강남대로124길 5 1층 마르케,682,"3,000",4.55,1647
비플레이트 바이 브라운브레드,37.4829314,127.0461557,서울 강남구 논현로24길 41 1층,489,"6,000",4.49,7186
테이블스,37.4981277,127.0338015,서울 강남구 논현로85길 52 역삼 푸르지오 시티,668,"2,000",4.43,12805
카페드로우지,37.5266531,127.0367456,"서울 강남구 언주로170길 37 4층, 5층 루프탑",480,"5,000",4.91,3588
아티제 코엑스몰점,37.5115594,127.0598942,서울 강남구 봉은사로 524 코엑스몰 B1 J101B,"3,593",900,4.37,3181
르푸도레,37.5108135,127.0582571,서울 강남구 테헤란로87길 46 오크우드호텔 1층,867,"4,000",4.38,3181
더앨리 가로수길점,37.5229113,127.0224289,서울 강남구 가로수길 75,816,"5,000",4.38,7361
크림슨젤라또,37.5196705,127.0222912,서울 강남구 도산대로11길 33 화성빌라 1층,111,"1,000",4.47,1986
배스킨라빈스 파르나스몰점,37.509545,127.0608688,"서울 강남구 테헤란로 521 (삼성동) 호텔동 지하1층 R21, 22호","2,417","1,000",4.58,3953
막간,37.4940591,127.0361174,서울 강남구 논현로71길 43 1층,102,500,4.88,3268
커피휘엘,37.5170173,127.0236569,서울 강남구 논현로149길 62,586,"3,000",4.56,1234
카페 시그니처,37.5077119,127.0360248,서울 강남구 봉은사로 218,688,"2,000",4.38,1617
베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,37.5258838,127.0389781,서울 강남구 도산대로53길 39 1층,521,"3,000",,2525
브루커피 강남타워300점,37.496761,127.0294162,"서울 강남구 테헤란로2길 21 1, 2층",441,"2,000",4.6,16623
ESC,37.5033924,127.0398479,서울 강남구 언주로93길 28-2 1층,32,"1,000",,1652
김영모과자점 강남구청점,37.5151924,127.0426418,서울 강남구 선릉로126길 6,"2,901","3,000",4.47,3076
바이칼리아,37.5263477,127.0344193,"서울 강남구 언주로168길 10 , 1층(신사동)",133,"3,000",,14143
윈스커피,37.5086385,127.0576622,서울 강남구 테헤란로83길 18 1층,176,600,,25172
플르서라구뜨,37.527183,127.0365076,서울 강남구 압구정로46길 23 Fleurs sur la route,61,"1,000",,3588
휙휙쉐이크 가로수길점,37.5208061,127.0220686,서울 강남구 압구정로10길 42 휙휙쉐이크,757,900,4.87,2070
Cafe4gil25,37.5214518,127.0208539,서울 강남구 압구정로4길 25 Cafe4gil25,37,100,,2070
웰컴투유토피아,37.5204662,127.0396608,서울 강남구 선릉로141길 4,4,"1,000",,2545
롤린우드,37.5218116,127.0427406,서울 강남구 도산대로62길 26 1층 롤린우드,80,"3,000",,7057
플랑플랑,37.5114834,127.0561588,서울 강남구 봉은사로84길 30 1층 플랑플랑,247,"11,000",4.52,9706
알에비뉴,37.5261964,127.0395353,서울 강남구 압구정로56길 26 1층,348,"10,000",4.2,3305
꼼다비뛰드,37.5033778,127.0295283,서울 강남구 강남대로110길 62 지하1층,518,"24,000",4.81,1922
디저트로이,37.526951,127.0348828,"서울 강남구 압구정로42길 30 101,102호",209,"2,000",4.44,3062
앤더슨씨 청담점,37.5240046,127.0401338,서울 강남구 도산대로55길 7 헤이븐빌딩,308,"16,000",4.34,7809
웻커피 신사,37.5199334,127.0200648,서울 강남구 강남대로162길 18 1층,308,"14,000",4.43,1492
아우어베이커리 싸이더스점,37.5127079,127.0427351,서울 강남구 선릉로 629 싸이더스HQ타워 A동 1층,"1,716","5,000",4.41,3992
페인팅룸,37.5266312,127.0356495,서울 강남구 언주로170길 24 은미르빌딩 B1 페인팅룸,375,"2,000",4.91,5844
겟썸커피 Sinsa store,37.5224458,127.0244718,서울 강남구 논현로159길 46-6,503,"13,000",4.51,3822
