,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude
5828,월세,300,"3,600",27,2/4,남동향,37.561169,126.926094
5829,월세,185,"3,000",59,2/3,북향,37.542002,126.951786
5830,월세,220,"5,000",187,B1/3,남서향,37.576062,126.894684
5831,월세,450,"7,000",115,1/2,남서향,37.539792,126.944092
5832,월세,100,"1,000",43,1/3,동향,37.576786,126.895738
5833,월세,400,"5,000",186,2/5,북향,37.5765,126.895047
5834,월세,700,"7,000",186,1/5,북향,37.5765,126.895047
5835,월세,100,"2,000",49,B1/3,남동향,37.549248,126.931235
5836,월세,"2,800",3억,314,1/19,서향,37.542633,126.950636
5837,월세,80,"2,000",23,1/2,북동향,37.583464,126.878679
5838,월세,270,"3,000",110,1/3,남향,37.578207,126.895262
5839,월세,200,"5,000",51,B1/22,서향,37.579413,126.890424
5840,월세,600,1억,140,1/6,북향,37.575146,126.895297
5841,월세,170,"2,000",69,1/3,서향,37.578442,126.895821
5842,월세,192,"2,500",73,1/23,동향,37.576184,126.889231
5843,월세,210,"2,000",17,1/24,남향,37.580069,126.889006
5844,월세,600,1억,64,1/16,북동향,37.581985,126.889231
5845,매매,0,10억,47,1/12,서향,37.581699,126.885972
5846,매매,0,10억,47,1/12,서향,37.581699,126.885972
5847,월세,400,"3,000",104,1/3,북서향,37.545752,126.91374
5848,월세,630,"1억 3,000",100,1/9,남향,37.554018,126.919221
5849,월세,300,"5,000",57,1/1,남향,37.576372,126.895794
5850,월세,200,"3,000",63,3/5,동향,37.548171,126.92045
5851,월세,150,"3,000",24,B1/3,남향,37.545758,126.914033
5852,월세,140,"3,000",57,3/4,북동향,37.570173,126.903857
5853,월세,180,"3,000",34,B1/2,동향,37.550942,126.913787
5854,월세,400,"6,000",71,1/5,북향,37.551944,126.919628
5855,월세,350,"6,000",66,2/5,북동향,37.549528,126.909927
5856,월세,70,"1,000",26,1/3,남향,37.565383,126.916598
5857,월세,120,"1,500",46,B1/4,서향,37.54834,126.918035
5858,월세,880,2억,187,2/15,북서향,37.564649,126.903573
5859,월세,400,1억,130,1/15,북서향,37.564649,126.903573
5860,월세,150,"3,000",26,1/3,북서향,37.54873,126.921422
5861,월세,585,"1억 5,000",68,1/2,북향,37.555284,126.934519
5862,월세,180,"3,000",29,1/3,북서향,37.54873,126.921422
5863,월세,462,"6,000",64,1/2,서향,37.554371,126.937812
5864,월세,200,"5,000",39,1/5,북서향,37.560706,126.917264
5865,월세,170,"2,000",52,3/4,남향,37.550294,126.920877
5866,월세,190,"2,000",70,2/5,동향,37.557131,126.921249
5867,월세,295,"3,000",129,3/4,북서향,37.554479,126.93024
5868,월세,220,"3,000",33,1/4,,37.559363,126.907416
5869,월세,330,"5,000",85,1/5,남동향,37.560303,126.925165
5870,월세,"1,200",3억,813,B1/15,남향,37.545398,126.925338
5871,매매,0,"6억 5,000",91,2/20,,37.554092,126.936768
5872,월세,180,"2,000",65,B1/3,남동향,37.555903,126.923982
5873,월세,160,"2,500",50,1/6,서향,37.554347,126.933807
5874,월세,150,"2,000",19,1/3,북동향,37.554619,126.929167
5875,매매,0,"3억 2,000",27,1/10,,37.556846,126.953622
5876,월세,35,"1,000",36,1/2,북서향,37.572127,126.901911
5877,월세,"1,200","1억 2,000",203,1/10,남서향,37.557171,126.909569
5878,월세,130,"1,500",33,2/3,서향,37.561976,126.926352
5879,월세,270,"5,000",42,1/3,남동향,37.559689,126.921469
5880,월세,300,"3,000",115,4/5,남동향,37.563392,126.925273
5881,월세,300,"5,000",56,3/5,서향,37.549083,126.916912
5882,월세,300,"5,000",56,2/5,서향,37.549083,126.916912
5883,매매,0,"12억 5,000",124,3/24,서향,37.580069,126.889006
5884,월세,"1,000",2억,263,4/5,남동향,37.554309,126.923296
5885,월세,95,"1,000",32,2/2,동향,37.555726,126.907916
5886,월세,250,"3,000",99,5/5,남동향,37.563392,126.925273
5887,월세,250,"5,000",23,1/5,북동향,37.555544,126.924617
5888,월세,750,1억,149,2/2,남동향,37.541425,126.950692
5889,월세,1억,10억,326,1/11,남서향,37.556072,126.922097
5890,월세,150,"2,000",29,1/5,남동향,37.538533,126.947096
5891,월세,200,"3,000",105,B1/4,남향,37.552568,126.923269
