name,latitude,longitude,address,review,savecount,visitorreviewscore,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,school_N,dongcode,aver_sales,subway_d,store_N,rest_N,day_pop,night_pop
프랑제리 피어 신촌점,37.5500842,126.9318339,서울 마포구 서강로 75-16 이랜드 PEER 신촌 로비층,"1,279","3,000",4.43,5047,46,2,1,8,2,6,2110568,20745184.222222224,292.57930765970457,2,0,508151.67,471457.29
umoae,37.54862,126.9198778,서울 마포구 양화로6길 99-5 1.5층,268,"9,000",4.74,8055,29,250,47,9,1,2,2110561,11468543.866666667,280.8133337880701,98,68,508151.67,471457.29
79파운야드 망원본점,37.5549512,126.9057735,서울 마포구 월드컵로13길 79 1층 105호 FOUNYARD,"1,366","13,000",,935,36,99,58,5,1,2,2110544,10746372.598484848,397.9874949578213,89,41,508151.67,471457.29
타쿠미야,37.5449313,126.9479246,서울 마포구 백범로 152,651,"5,000",4.55,3334,36,2,12,6,1,10,2110581,,338.90751759402883,25,15,508151.67,471457.29
카페 웍소베러,37.5552146,126.9157903,서울 마포구 잔다리로 88 원방빌딩 1F,821,"10,000",,1062,45,105,21,8,0,2,2120102,13887209.016260162,515.2028533677596,48,24,508151.67,471457.29
런이트,37.5780613,126.8942739,서울 마포구 매봉산로2안길 12-9 2층,591,"1,000",4.79,324,24,9,2,10,1,2,2130183,21256432.930693068,330.8904433374706,11,4,508151.67,471457.29
크림데이,37.5558793,126.9077537,서울 마포구 월드컵로21길 39,811,"6,000",4.82,1484,31,62,58,3,1,2,2130186,8688892.75,203.99874329512812,91,42,508151.67,471457.29
모투누이,37.5624052,126.9242063,서울 마포구 동교로 251 1층 모투누이,317,"6,000",4.7,4375,21,78,114,7,0,6,2110562,16632096.028985508,588.8574565156293,186,105,508151.67,471457.29
공중도시,37.5500023,126.9192094,서울 마포구 양화로10길 55,141,"10,000",4.69,11080,28,253,49,7,2,2,2120105,15533136.013986014,409.578109745206,105,75,508151.67,471457.29
카페포스터,37.5611782,126.9218318,서울 마포구 연남로3길 13 2층,101,"6,000",4.69,1157,29,78,109,5,0,6,2120104,19388437.813559324,542.5337414013765,182,102,508151.67,471457.29
얼반스퀘어,37.5472232,126.9182435,서울 마포구 독막로8길 15 1층,324,"2,000",4.51,1935,27,213,42,7,2,2,2110559,33065238.87719298,409.9680200150392,89,56,508151.67,471457.29
카페엘디오스,37.5572043,126.9047667,서울 마포구 망원로 72 1층,157,"1,000",4.41,1177,40,109,53,2,1,2,2130185,2994782.6666666665,481.9797654113942,77,33,508151.67,471457.29
캘리포니아도넛클럽 & 비라티오 홍대점,37.5511395,126.9202117,"서울 마포구 잔다리로 28 1층, 2층","1,731","14,000",4.51,1914,34,239,50,7,1,0,2130190,28899169.296875,446.1995688584862,102,72,508151.67,471457.29
오우야 에스프레소바 합정점,37.5466975,126.9131052,서울 마포구 성지길 45 엠슨빌딩 1층,778,"20,000",4.62,922,24,70,18,5,1,2,2130188,,312.54521823503967,55,35,508151.67,471457.29
브라운하우스,37.5633428,126.9273832,서울 마포구 동교로50길 25 2층,504,"19,000",4.62,1813,24,91,123,7,0,0,2130192,14813111.333333334,706.3421546577948,203,111,508151.67,471457.29
로우머,37.5542643,126.9064762,서울 마포구 월드컵로13길 55-26 1층,263,"14,000",4.5,935,35,88,59,5,1,2,2110544,10746372.598484848,375.1701628093722,91,44,508151.67,471457.29
어썸도넛서울,37.5477039,126.91764,"서울 마포구 독막로6길 5 1층, 어썸도넛서울",503,"4,000",4.51,7262,32,219,40,6,2,2,2110559,33065238.87719298,395.6450762779045,89,58,508151.67,471457.29
Liebhaber,37.5459492,126.9449322,서울 마포구 백범로24길 11-4 1층,209,"8,000",4.49,2171,27,2,11,5,1,12,2110576,10637213.074074076,323.6583528720863,19,10,508151.67,471457.29
"두올두낫 do,or do not",37.5472476,126.9421607,서울 마포구 백범로16길 8-5 1층,38,"3,000",,2160,29,1,6,5,1,8,2110576,10637213.074074076,58.758310596662376,14,7,508151.67,471457.29
당인리책발전소,37.5556909,126.9111222,서울 마포구 월드컵로14길 10-8,"1,063","15,000",4.54,1001,30,100,33,4,1,8,2120100,33044747.18644068,104.44589446771823,63,35,508151.67,471457.29
스타벅스 망원한강공원점,37.5540136,126.8958763,서울 마포구 마포나루길 407,"1,861","12,000",,907,9,35,3,1,0,0,2110540,,1244.7490774244031,6,0,508151.67,471457.29
작업실01,37.5555266,126.9242532,서울 마포구 홍익로2길 27-17 1층,42,"2,000",4.98,3882,36,138,46,7,1,2,2130191,21811670.31683168,210.1826740451659,78,43,508151.67,471457.29
오디티,37.5491953,126.9154936,서울 마포구 양화로6길 21 3층,61,700,,1477,29,193,38,8,1,2,2120101,33640924.074074075,157.5213201061372,99,68,508151.67,471457.29
인솔커피 상수점,37.5471179,126.9235498,서울 마포구 독막로18길 16 1층 인솔커피 상수점,196,"4,000",4.55,2326,23,181,31,4,1,2,2120105,15533136.013986014,90.59563568543386,49,32,508151.67,471457.29
아망디네,37.5623906,126.9256371,서울 마포구 동교로46길 13,471,"2,000",4.36,2381,21,78,116,8,0,0,2130192,14813111.333333334,578.4993597147765,196,113,508151.67,471457.29
모을,37.554369,126.9071743,서울 마포구 월드컵로19길 71 3층,18,"15,000",4.41,935,34,92,60,3,1,2,2130186,8688892.75,318.02864979787904,92,45,508151.67,471457.29
odd,37.5548212,126.912694,서울 마포구 월드컵로10길 17 1층,266,"14,000",4.58,1442,33,84,31,3,1,2,2130187,19907050.0,272.5271832631699,57,31,508151.67,471457.29
미남당 & 배배꼬 홍대점,37.5487941,126.9219105,서울 마포구 독막로15길 25,131,"1,000",,2326,27,234,47,5,1,4,2120105,15533136.013986014,145.80982241865357,90,62,508151.67,471457.29
카페밤비,37.5554671,126.9098454,서울 마포구 동교로9길 36 1층,782,"5,000",4.51,1099,35,115,49,4,1,2,2120100,33044747.18644068,72.04796821034897,84,41,508151.67,471457.29
