tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,store_N,rest_N,day_pop,night_pop,2nPrc_str,2nPrc,평당가격,가성비,가성비_Rank,floor_estate,floor_buliding
월세,180,"2,000",84,6/6,북서향,37.549503,126.919658,7825,31,252,49,8,1,344.63325063765706,2,103,73,508151.67,471457.29,"180*24+2,000",63200000.0,752380.9523809524,0.010400316455696203,36,6,6
월세,150,"2,000",89,B1/3,북향,37.546049,126.916557,6503,23,158,24,5,1,453.6871046080405,2,62,41,508151.67,471457.29,"150*24+2,000",56000000.0,629213.4831460674,0.010335125,37,B1,3
월세,200,"2,000",89,2/4,,37.551508,126.919298,7825,37,236,54,7,0,525.3154519188566,0,106,75,508151.67,471457.29,"200*24+2,000",68000000.0,764044.9438202247,0.010241544117647059,38,2,4
월세,350,"3,000",149,3/5,남동향,37.549332,126.920526,7825,25,250,49,6,1,272.6504359610298,2,99,69,508151.67,471457.29,"350*24+3,000",114000000.0,765100.6711409396,0.010227412280701755,39,3,5
월세,250,"3,000",96,1/2,,37.555741,126.927781,9541,36,108,34,5,1,266.06348364947024,2,52,25,508151.67,471457.29,"250*24+3,000",90000000.0,937500.0,0.010177066666666667,40,1,2
월세,350,"3,000",148,2/5,동향,37.554162,126.92566,7835,42,141,30,5,1,337.8175490794412,2,55,35,508151.67,471457.29,"350*24+3,000",114000000.0,770270.2702702703,0.010171754385964913,41,2,5
월세,300,"3,000",125,3/5,북동향,37.554295,126.926797,8287,39,108,26,4,1,345.4701690365408,2,50,29,508151.67,471457.29,"300*24+3,000",102000000.0,816000.0,0.010155637254901961,42,3,5
월세,120,"1,500",85,B1/4,서향,37.576066,126.895618,5185,26,1,2,10,1,477.26544728349546,2,7,2,508151.67,471457.29,"120*24+1,500",43800000.0,515294.1176470588,0.010062214611872147,43,B1,4
월세,85,"1,000",30,4/4,남서향,37.555947,126.926276,10072,39,110,43,5,1,159.34040203257433,2,64,29,508151.67,471457.29,"85*24+1,000",30400000.0,1013333.3333333334,0.009939473684210526,44,4,4
월세,180,"2,000",73,2/2,남동향,37.548933,126.917475,8571,33,250,45,7,2,334.5923983260862,2,106,73,508151.67,471457.29,"180*24+2,000",63200000.0,865753.4246575342,0.00990004746835443,45,2,2
월세,"1,200","1억 2,000",429,1/8,남동향,37.553209,126.919418,9360,43,145,39,6,0,651.2625686583935,2,83,55,508151.67,471457.29,"1,200*24+1억 2,000",408000000.0,951048.951048951,0.009841764705882354,46,1,8
월세,130,"2,000",110,2/4,남동향,37.544349,126.936349,4431,23,19,0,6,0,516.5683720134298,8,2,0,508151.67,471457.29,"130*24+2,000",51200000.0,465454.54545454547,0.009519726562499999,47,2,4
월세,330,"5,000",143,2/6,남향,37.54828,126.917701,8571,32,240,44,7,2,373.2359160467861,2,99,66,508151.67,471457.29,"330*24+5,000",129200000.0,903496.5034965035,0.009486478328173375,48,2,6
월세,270,"3,000",92,4/5,북서향,37.550691,126.918991,9743,30,249,51,6,2,474.6488869156876,2,105,76,508151.67,471457.29,"270*24+3,000",94800000.0,1030434.7826086957,0.009455232067510548,49,4,5
월세,220,"5,000",187,B1/3,남향,37.576062,126.894684,5185,26,1,2,10,0,537.753627954771,2,7,1,508151.67,471457.29,"220*24+5,000",102800000.0,549732.6203208556,0.009431857976653696,50,B1,3
월세,200,"2,500",68,3/4,남서향,37.555738,126.926349,10072,40,110,39,5,1,182.8134916908876,2,61,32,508151.67,471457.29,"200*24+2,500",73000000.0,1073529.4117647058,0.009382136986301371,51,3,4
월세,200,"2,000",82,2/6,남향,37.554669,126.919631,7719,48,103,36,7,0,579.327416530504,2,70,38,508151.67,471457.29,"200*24+2,000",68000000.0,829268.2926829269,0.00930820588235294,52,2,6
월세,240,"2,000",200,B1/4,북향,37.547134,126.914225,3589,25,77,20,5,1,262.49370771563895,2,66,44,508151.67,471457.29,"240*24+2,000",77600000.0,388000.0,0.00925,53,B1,4
월세,200,"4,000",65,B1/3,북서향,37.555735,126.928201,12424,33,108,29,5,1,296.71784599064614,2,50,26,508151.67,471457.29,"200*24+4,000",88000000.0,1353846.1538461538,0.009176818181818182,54,B1,3
월세,350,"5,000",274,2/2,남동향,37.544434,126.936204,4431,22,19,0,6,0,500.745455363096,8,2,0,508151.67,471457.29,"350*24+5,000",134000000.0,489051.09489051095,0.009060402985074626,55,2,2
월세,200,"3,000",90,3/5,동향,37.548642,126.920231,7825,28,250,48,7,1,252.97094538869163,2,98,67,508151.67,471457.29,"200*24+3,000",78000000.0,866666.6666666666,0.009028846153846155,56,3,5
월세,470,"5,000",186,1/6,,37.548033,126.920954,7825,26,248,44,6,1,171.00083434128737,2,86,59,508151.67,471457.29,"470*24+5,000",162800000.0,875268.8172043011,0.008940110565110565,57,1,6
월세,500,"5,000",194,5/7,북동향,37.550733,126.920204,7825,34,243,49,7,1,408.7054994685067,2,103,73,508151.67,471457.29,"500*24+5,000",170000000.0,876288.6597938144,0.008929705882352942,58,5,7
월세,200,"3,000",89,B1/5,동향,37.548171,126.92045,7825,25,250,44,6,1,217.7211119073121,2,91,61,508151.67,471457.29,"200*24+3,000",78000000.0,876404.4943820224,0.008928525641025642,59,B1,5
