,dong,food,func,set,data
31,0.0,5.0,12.0,1.0,3888485.0
32,0.0,5.0,12.0,2.0,3273841.0
33,0.0,5.0,12.0,3.0,3966462.0
34,0.0,5.0,12.0,4.0,4312242.0
35,0.0,5.0,12.0,5.0,1526722.0
36,0.0,6.0,12.0,0.0,132160.0
37,0.0,6.0,12.0,1.0,2442969.0
38,0.0,6.0,12.0,2.0,3042378.0
39,0.0,6.0,12.0,3.0,3282093.0
40,0.0,6.0,12.0,4.0,3526980.0
41,0.0,6.0,12.0,5.0,1071479.0
42,0.0,7.0,12.0,0.0,79691.0
43,0.0,7.0,12.0,1.0,1768852.0
44,0.0,7.0,12.0,2.0,2859709.0
45,0.0,7.0,12.0,3.0,2441627.0
46,0.0,7.0,12.0,4.0,1798373.0
47,0.0,7.0,12.0,5.0,751401.0
48,0.0,8.0,12.0,0.0,41235.0
49,0.0,8.0,12.0,1.0,1350551.0
50,0.0,8.0,12.0,2.0,2906179.0
51,0.0,8.0,12.0,3.0,3234089.0
52,0.0,8.0,12.0,4.0,3167202.0
53,0.0,8.0,12.0,5.0,1266199.0
54,0.0,9.0,12.0,0.0,183208.0
55,0.0,9.0,12.0,1.0,4561993.0
56,0.0,9.0,12.0,2.0,5552758.0
57,0.0,9.0,12.0,3.0,3548915.0
58,0.0,9.0,12.0,4.0,2818629.0
59,0.0,9.0,12.0,5.0,1105853.0
0,0.0,0.0,11.0,0.0,2.0
1,0.0,0.0,11.0,1.0,89.0
2,0.0,0.0,11.0,2.0,135.0
3,0.0,0.0,11.0,3.0,128.0
4,0.0,0.0,11.0,4.0,144.0
5,0.0,0.0,11.0,5.0,86.0
6,0.0,1.0,11.0,0.0,5.0
7,0.0,1.0,11.0,1.0,81.0
8,0.0,1.0,11.0,2.0,133.0
9,0.0,1.0,11.0,3.0,188.0
10,0.0,1.0,11.0,4.0,211.0
11,0.0,1.0,11.0,5.0,110.0
12,0.0,2.0,11.0,0.0,2.0
13,0.0,2.0,11.0,1.0,82.0
14,0.0,2.0,11.0,2.0,105.0
15,0.0,2.0,11.0,3.0,77.0
16,0.0,2.0,11.0,4.0,63.0
17,0.0,2.0,11.0,5.0,34.0
18,0.0,3.0,11.0,0.0,9.0
19,0.0,3.0,11.0,1.0,304.0
20,0.0,3.0,11.0,2.0,397.0
21,0.0,3.0,11.0,3.0,242.0
22,0.0,3.0,11.0,4.0,196.0
23,0.0,3.0,11.0,5.0,93.0
