,ARS-ID,정류소명,X좌표,Y좌표
162,14250,망원시장.망원동월드컵시장입구,126.9085178,37.55752051
163,14251,망원시장.망원동월드컵시장입구,126.9089433,37.55759113
164,14252,마포구청역입구,126.9063647,37.56042755
165,14253,마포구청역입구,126.9057249,37.56059465
166,14254,성서초등학교,126.9114976,37.55880324
167,14255,성서초등학교,126.9111731,37.55851374
168,14256,새서울의원,126.9072377,37.55109381
169,14257,미원아파트입구,126.9032162,37.55912293
170,14258,미원아파트입구,126.9033226,37.55916537
171,14259,망원2동주민센터,126.9030951,37.56000591
172,14260,망원2동주민센터,126.9029286,37.56008056
173,14261,청기와빌라,126.9041074,37.56060866
174,14262,청기와빌라,126.9047513,37.56076057
175,14263,망원정입구,126.9069936,37.55259394
176,14264,성산초등학교,126.9100992,37.55359386
177,14265,서서울농협,126.9062208,37.55331691
178,14266,서서울농협,126.9060056,37.55340865
179,14267,망원1동주민센터,126.9048936,37.55562355
180,14268,망원1동주민센터,126.9051055,37.5554408
181,14269,동교초등학교,126.9043033,37.55802046
182,14270,동교초등학교,126.9040871,37.55789095
183,14271,월드컵파크7단지,126.8784199,37.58114971
184,14272,월드컵파크7단지,126.878963,37.581876
185,14273,월드컵경기장북측,126.8993188,37.57280186
186,14274,월드컵경기장북측,126.898104,37.573967
187,14275,경성중고.홍대부속여중고입구,126.9156529,37.5597317
188,14283,삼진제약,126.9270722,37.55340912
189,14284,홍대입구역사거리,126.9220783,37.55483957
190,14286,상암DMC홍보관.YTN,126.891323,37.577985
191,14287,상암DMC홍보관.YTN,126.8912876,37.57746059
192,14288,월드컵파크5단지.상암중고등학교입구,126.886335,37.580921
193,14289,월드컵파크5단지,126.8865178,37.58033328
194,14290,상암DMC입구,126.8826124,37.58343101
195,14291,상암고등학교,126.8840462,37.58177983
196,14292,월드컵파크3단지후문,126.889762,37.571242
197,14293,마포아트센터,126.9439378,37.54992028
198,14294,월드컵파크4단지,126.88981,37.57829993
199,14295,월드컵파크4단지후문.JTBC,126.8900683,37.57738557
200,14296,디지털미디어시티역2번출구,126.8996741,37.57520782
201,14306,월드컵파크4단지후문.JTBC,126.8900281,37.57780994
202,14307,누리꿈스퀘어.MBC,126.889637,37.578988
203,14308,월드메르디앙아파트,126.9234284,37.54507349
204,14309,월드메르디앙아파트,126.924291,37.54480912
205,14310,한강밤섬자이아파트,126.9277927,37.54573584
206,14311,한강밤섬자이아파트,126.9277295,37.54554928
207,14312,서강해모로아파트,126.9294971,37.54568641
208,14313,서강해모로아파트,126.9296149,37.54549455
209,14314,서교동주민센터.마포신문사,126.9163533,37.55489152
210,14315,동교로사거리,126.9198284,37.55564455
211,14316,월드컵경기장북측,126.8980782,37.57348202
212,14317,강변한신코아,126.943956,37.53722164
213,14330,난지한강공원,126.878477,37.567732
214,14331,난지한강공원,126.875258,37.568751
215,14332,월드컵공원입구.문화비축기지입구,126.892749,37.568177
216,14333,디지털미디어시티역,126.9006314,37.57499713
217,14334,월드컵파크9.10.11.12단지,126.878833,37.58533
218,14335,월드컵파크9.10.11.12단지,126.8798243,37.58442751
219,14336,용마루고개.브라운스톤공덕아파트,126.95705,37.540992
220,14337,하늘초등학교,126.879658,37.585322
221,14338,월드컵파크10단지,126.8815891,37.58612515
222,14339,월드컵파크11.12단지,126.8808993,37.58627043
223,14340,수색교,126.8841306,37.58722159
224,14341,수색교,126.8839599,37.58708175
225,14342,가좌역1번출구,126.9152645,37.5682205
226,14343,가좌역,126.9153689,37.5678974
227,14344,디지털미디어시티역,126.9005264,37.57561249
228,14346,청구아파트.참누리아파트,126.9028582,37.57423215
229,14347,청구아파트.참누리아파트,126.9031032,37.57383317
230,14348,중동현대아파트,126.9072676,37.57168561
231,14349,중동현대아파트,126.9070708,37.57152056
