name,latitude,longitude,address
피에트라,37.5661556,126.9200124,서울 마포구 성미산로23길 62 1층
리틀그릭,37.5619206,126.9252833,서울 마포구 동교로38길 20 102호 리틀그릭
폴리스팬케이크,37.5615112,126.9254734,서울 마포구 동교로38길 30 2층 202호
디에이프릴,37.5653902,126.9232933,서울 마포구 성미산로29안길 19 1층
그레인,37.5623459,126.9260722,서울 마포구 동교로46길 23
리틀빅토리,37.5607907,126.9257095,서울 마포구 연희로1길 41
콩카페 연남점,37.5653471,126.9237464,서울 마포구 성미산로 161-14
Are&am,37.5620906,126.9181979,서울 마포구 성미산로17길 12 1층
모투누이,37.5624052,126.9242063,서울 마포구 동교로 251 1층 모투누이
연트럴다방,37.5637930,126.9235532,서울 마포구 동교로41길 32 지층
목화씨라운지,37.5649989,126.9221100,서울 마포구 성미산로29길 23
페블스,37.5608991,126.9213678,서울 마포구 연남로3길 23
그림카페,37.5652590,126.9238655,서울 마포구 성미산로 161-10 그림카페
데일리라운드,37.5619210,126.9259933,서울 마포구 동교로38길 27-19
네시사분,37.5627399,126.9258994,서울 마포구 성미산로 190-8
케익다방 연남점,37.5651549,126.9245456,서울 마포구 동교로51안길 13 1층
미라지커피,37.5628780,126.9254135,서울 마포구 동교로 262-6 2층 202호
텐더리커피앤디저트,37.5655479,126.9217043,서울 마포구 성미산로29길 35 2층 202호
피오니 연남점,37.5644422,126.9199584,서울 마포구 연남로 59-1
브라운하우스,37.5633428,126.9273832,서울 마포구 동교로50길 25 2층
발트 본점,37.5629843,126.9254903,서울 마포구 동교로 262-3 2-3층
대충유원지,37.5587875,126.9203925,서울 마포구 월드컵북로6길 37
조앤도슨,37.5636475,126.9232056,서울 마포구 동교로41길 31 지층
스윗헤르츠,37.5610467,126.9245476,서울 마포구 동교로34길 3 3층
오피스오브,37.5621091,126.9188743,서울 마포구 성미산로 107 1층
루트커피,37.5655981,126.9235356,서울 마포구 성미산로29안길 27 1층 카페
헤이미쉬,37.5617046,126.9256320,서울 마포구 동교로38길 27 지층 오른쪽 H Cafe & pub
연남방앗간,37.5620659,126.9231559,서울 마포구 동교로29길 34
얼스어스,37.5641639,126.9232442,서울 마포구 성미산로 150
브론시스,37.5614361,126.9264666,서울 마포구 연희로1길 57 지층 카페브론시스
바온하우스,37.5642278,126.9175625,서울 마포구 성미산로17길 62
꿀넹쿠키 연남점,37.5628144,126.9245343,서울 마포구 동교로 255-1 1층
피프에스프레소바,37.5643060,126.9226392,서울 마포구 성미산로29길 5 1층
다레젤라또 연남점,37.5613621,126.9258205,서울 마포구 동교로38길 35 지1층 1호
라프하우스,37.5606837,126.9247949,서울 마포구 동교로32길 10 2층 라프하우스
커피리브레 연남점,37.5621403,126.9269207,서울 마포구 성미산로 200
모어쿠키,37.5622416,126.9245080,서울 마포구 동교로 250 1층
스탬프커피,37.5650679,126.9237769,서울 마포구 성미산로 161-7 1층 스탬프커피
르빵드파파,37.5653576,126.9205056,서울 마포구 성미산로23길 46 1층
아뜰리에 디셈버,37.5641576,126.9246229,"서울 마포구 성미산로 170 1F, 102호"
도 도넛,37.5619759,126.9263177,서울 마포구 동교로38길 33-18 프라임빌딩 101호
데얼커피,37.5622625,126.9253821,서울 마포구 동교로38안길 21 1층
테이블 연남,37.5619346,126.9251567,서울 마포구 동교로38길 16 2층 테이블 연남
에플린크,37.5625376,126.9258380,서울 마포구 성미산로 190-31 2층
프롬라떼 연남,37.5607205,126.9233837,서울 마포구 연남로 10 2층 (서울특별시 마포구 연남동 373-9 2층)
지구제과,37.5655230,126.9221634,서울 마포구 성미산로29길 30-3 1층 3호 지구제과
슬로우,37.5623042,126.9262234,"서울 마포구 동교로46길 25 2, 3층 Slow"
카페 롤다운,37.5625715,126.9239075,서울 마포구 동교로39길 4-8 1층
유어로스팅파크 & 카페유알피,37.5620215,126.9212786,서울 마포구 성미산로22길 23
에뚜왈,37.5642353,126.9246675,서울 마포구 성미산로 170 1층 에뚜왈
플렘므,37.5642300,126.9224974,서울 마포구 성미산로29길 3 1층
실론살롱,37.5622782,126.9267683,서울 마포구 성미산로 198 동진시장 1층
프롬헤라스,37.5657462,126.9188631,서울 마포구 연남로 77 1층
정항우케익 서울연남점,37.5625045,126.9227591,서울 마포구 동교로29길 48 1층 정항우케익 연남점
Cafe105,37.5621709,126.9211839,"서울 마포구 연남로5길 12 1층, 2층"
스몰럭케이크,37.5647429,126.9226625,서울 마포구 성미산로29길 14 201호
올루 에스프레소바,37.5651590,126.9228079,서울 마포구 성미산로29안길 11 102호
야미케이크,37.5632628,126.9174312,서울 마포구 월드컵북로16길 53 야미케이크
위아소울메이트,37.5625216,126.9261084,"서울 마포구 성미산로 190-11 , 2층 위아소울메이트"
카페포스터,37.5611782,126.9218318,서울 마포구 연남로3길 13 2층
아꽁뜨,37.5644522,126.9263841,서울 마포구 동교로51길 3 1층
온플리크,37.5617616,126.9258867,서울 마포구 동교로38길 27-8 1층
매버릭스퀘어,37.5618542,126.9246072,서울 마포구 동교로38길 5 3층
릴하우스,37.5629844,126.9257124,서울 마포구 동교로 266-8 2층 릴하우스
브래디스커피,37.5661989,126.9209912,서울 마포구 성미산로23안길 23 2층
일쩜오플로어,37.5608532,126.9255965,서울 마포구 동교로34길 21
비터버터,37.5623186,126.9261791,서울 마포구 동교로46길 25 비터버터
유니드마이요거트,37.5658537,126.9219594,서울 마포구 성미산로29길 44 유니드마이요거트
벨라쿠키 연남,37.5618743,126.9244989,서울 마포구 동교로 246 1층
모리노팡,37.5615426,126.9208136,서울 마포구 연남로3길 22-16 101호
기프티드,37.5641028,126.9232583,서울 마포구 성미산로 150 1층 기프티드
어나더룸,37.5655598,126.9233401,서울 마포구 성미산로29안길 19-4 1층
SOP,37.5627072,126.9239759,서울 마포구 동교로39길 4-13 가야빌딩1층 SOP
아망디네,37.5623906,126.9256371,서울 마포구 동교로46길 13
Deweet,37.5614974,126.9246983,서울 마포구 동교로 242-5
썸모어델리,37.5664458,126.9198449,서울 마포구 동교로51길 131
레드애플 연남점,37.5621505,126.9263736,서울 마포구 동교로46길 30 1층
오랑지,37.5620660,126.9250095,서울 마포구 동교로38길 13
턴다운서비스,37.5637909,126.9265843,서울 마포구 동교로50길 7 반지층
휘겔리후스,37.5631777,126.9207582,서울 마포구 성미산로 127 2층 휘겔리후스
어반비치연남,37.5618365,126.9240507,서울 마포구 동교로 245 3층
커피냅로스터스 연남동,37.5664367,126.9202199,서울 마포구 성미산로27길 70
바소 연남,37.5618025,126.9247892,서울 마포구 동교로38길 8
와이와이와이 그릭요거트 연남,37.5640492,126.9216036,서울 마포구 성미산로23길 10
호안끼엠,37.5617899,126.9266496,서울 마포구 동교로46길 42-9
쟈드니에,37.5664251,126.9197728,서울 마포구 동교로51길 133-1
카페꼼마 연남점,37.5647464,126.9218932,서울 마포구 성미산로29길 17-8
쿄베이커리 연남점,37.5626959,126.9231167,서울 마포구 성미산로26길 27
보통공간,37.5639451,126.9267649,서울 마포구 동교로52길 4-3 B01호
메리트리,37.5653034,126.9231424,서울 마포구 성미산로29안길 17 2층
연남동벚꽃집,37.5626466,126.9227122,서울 마포구 동교로29길 50
코메아벨렘,37.5623749,126.9267687,서울 마포구 성미산로 198 동진시장 1층
SF bagels,37.5622580,126.9264005,서울 마포구 동교로46길 29 수목원
벌스가든,37.5652903,126.9205854,서울 마포구 성미산로23길 44 벌스가든
카페플롬,37.5614888,126.9257415,서울 마포구 동교로38길 33 201호
페브,37.5627564,126.9257153,서울 마포구 동교로 262-11 2층 Feb
위아소울메이트 2호점,37.5615316,126.9254681,서울 마포구 동교로38길 30 1층
백종명화이트커피,37.5657105,126.9235469,서울 마포구 성미산로29안길 29 1층
띠옷,37.5626971,126.9243231,서울 마포구 동교로41길 4 1층 띠옷
로컬코드,37.5630877,126.9258199,서울 마포구 동교로 266-7 2층
플루프커피,37.5624597,126.9253952,서울 마포구 동교로46길 12 102호
롱브르,37.5642329,126.9266727,서울 마포구 동교로 282 2층
매일카페,37.5606788,126.9209778,서울 마포구 연남로3길 31 1층
카페 퍼프,37.5601733,126.9222454,서울 마포구 월드컵북로6길 81 2층 puff x aussiecoast
무유무유,37.5628395,126.9261019,서울 마포구 성미산로 190-4 102호
미드나잇 플레져,37.5652917,126.9231267,서울 마포구 성미산로29안길 17
벌스데이투미,37.5654213,126.9237185,서울 마포구 성미산로29안길 26 2F
연남 유동커피,37.5624096,126.9228663,서울 마포구 동교로29길 42
카페 어쿠스틱,37.5622475,126.9229499,서울 마포구 동교로29길 40 1층
아이니드케이크,37.5615622,126.9261745,서울 마포구 동교로38길 33-10 B1
88파운드,37.5667227,126.9168064,서울 마포구 연남로13길 9 101호
그림제작소 연남점,37.5641718,126.9245885,서울 마포구 성미산로 170 2층
솔트 포레스트,37.5621020,126.9257255,서울 마포구 동교로46길 18-3 1층 솔트 포레스트
미라보양과자점,37.5656396,126.9215274,서울 마포구 성미산로29길 35-6 1층
마나올라나,37.5650866,126.9231116,서울 마포구 성미산로 153-16 1층
알버트파크,37.5597399,126.9190982,서울 마포구 연남로3길 72 1층
달,37.5639739,126.9259792,"서울 마포구 동교로 273-1 지1층, 1층, 3층"
피프티인더카트,37.5627399,126.9258994,서울 마포구 성미산로 190-8 3층
연남동그라미,37.5638852,126.9245162,서울 마포구 성미산로32길 10 1층
피스피스 연남점,37.5660901,126.9220676,서울 마포구 동교로51길 91 2층
러프글로스,37.5660299,126.9222776,서울 마포구 동교로51길 87 1층
요거하우스,37.5654826,126.9220285,서울 마포구 성미산로29길 34
메리고라운드,37.5636351,126.9267987,서울 마포구 동교로50길 11 메리고라운드
카페늘보,37.5653706,126.9240453,서울 마포구 동교로51안길 26 2층
오아이오,37.5654826,126.9220285,서울 마포구 성미산로29길 34
코발트무드,37.5610608,126.9256778,서울 마포구 동교로38길 42
테일러커피 연남 2호점,37.5632666,126.9262169,서울 마포구 성미산로 187
딥하우스,37.5628636,126.9247528,서울 마포구 동교로 257-1 지하1층
게슈탈트 커피,37.5628719,126.9251348,서울 마포구 동교로 260 2층 전체
카페 미드위크,37.5609491,126.9255987,서울 마포구 동교로38길 42-5 2층 미드위크
지구샵 그로서리,37.5668594,126.9177090,서울 마포구 연남로 93 1층
베란다컵케익,37.5619705,126.9262088,서울 마포구 동교로38길 27-14
르쁘띠푸 연남점,37.5647657,126.9247121,서울 마포구 성미산로 165-6
아임일리터 연남점,37.5613817,126.9241108,서울 마포구 동교로 239-1
코코시에나,37.5616512,126.9254453,서울 마포구 동교로38길 28 3층
릴리엄커피,37.5622509,126.9255542,서울 마포구 동교로46길 16 1층
카페하이웨스트 연남점,37.5645859,126.9250821,서울 마포구 성미산로 167-9
얼웨이즈스프링,37.5624502,126.9257597,서울 마포구 성미산로 190-33 2층 201호
블룸스토리,37.5618566,126.9265543,서울 마포구 동교로46길 42-20 2층
비손더,37.5647672,126.9240033,서울 마포구 성미산로 161 1층
오버필커피,37.5629110,126.9255607,서울 마포구 동교로 262-5 2층 오버필커피
로프커피연남점,37.5660901,126.9220676,서울 마포구 동교로51길 91 반지층
코이크,37.5622523,126.9238872,서울 마포구 동교로39길 8
하프베이글,37.5665505,126.9169432,서울 마포구 성미산로17길 115 101호 하프베이글
망원동티라미수 연트럴파크점,37.5607754,126.9235147,서울 마포구 동교로 227-11
스윗사워솔트,37.5618270,126.9209870,서울 마포구 연남로5길 19
앤스커피클럽,37.5639439,126.9249955,서울 마포구 성미산로 174
히든트랙헤이즐,37.5647642,126.9230310,서울 마포구 성미산로 153-9 헤이즐
지구샵 제로웨이스트홈,37.5645573,126.9235816,서울 마포구 성미산로 155 1층
베이크브리즈,37.5616970,126.9265566,서울 마포구 동교로46길 42-24 1.5층
발트 연트럴파크점,37.5645022,126.9212029,서울 마포구 성미산로23길 24 1층~3층
카페밀노,37.5629444,126.9257709,서울 마포구 동교로 266-10 1층
오랑제뜨22,37.5619309,126.9232802,서울 마포구 동교로29길 32 1층 오랑제뜨22
마르셀,37.5617234,126.9241277,서울 마포구 동교로 243 2층
펠른 에스프레소바,37.5620410,126.9210434,서울 마포구 성미산로22길 18
레또르떼,37.5604178,126.9219856,서울 마포구 연남로1길 19
렌테,37.5637094,126.9232266,서울 마포구 동교로41길 31 1층 렌테
틱텍톡,37.5660013,126.9208871,서울 마포구 성미산로23안길 19 1층
연남동홈,37.5631678,126.9224510,서울 마포구 성미산로26길 14 1층
에스프레소 부티크,37.5613890,126.9221457,서울 마포구 연남로3길 7
어나더쉐어,37.5622614,126.9248937,서울 마포구 동교로38안길 10 2층
마스네 서울,37.5621575,126.9190818,서울 마포구 성미산로 109 1층 마스네 서울
컨시더,37.5663894,126.9204097,서울 마포구 동교로51길 119
"그냥,방실",37.5649610,126.9229986,서울 마포구 성미산로 153-13 2층
브레드포레스트,37.5618100,126.9269810,서울 마포구 연희로 33 1층
카페테드,37.5627665,126.9225445,서울 마포구 성미산로32길 51
gongrot,37.5662741,126.9200451,서울 마포구 동교로51길 129-6
디저트 뷰,37.5650634,126.9226874,서울 마포구 성미산로29안길 7 1층왼쪽 디저트뷰
틸다제이,37.5657267,126.9235134,서울 마포구 성미산로29안길 29 지층 B102호
채널오렌지,37.5655898,126.9219308,서울 마포구 성미산로29길 40-6
라운드원,37.5643671,126.9231441,서울 마포구 성미산로 151 2층 왼쪽
리이슈커피로스터스,37.5627141,126.9213916,서울 마포구 연남로 35 1층
피포커피,37.5598754,126.9210850,서울 마포구 연남로1길 39 1층
CVL LAB,37.5608866,126.9234130,서울 마포구 동교로 227-13 4층 CVL랩
온순간,37.5611187,126.9181444,"서울 마포구 성미산로16길 3-3 1층, 2층"
투썸플레이스 마포연남점,37.5639395,126.9223310,서울 마포구 성미산로 143
라보아르,37.5653316,126.9241221,서울 마포구 동교로51안길 24 1층
슬리핑포레스트,37.5636033,126.9231977,서울 마포구 동교로41길 31
에이콘팬트리,37.5659639,126.9220191,서울 마포구 성미산로29길 46 1층 101호
플레이버,37.5626402,126.9254326,서울 마포구 동교로46길 9
온오프 연남,37.5663131,126.9208482,서울 마포구 동교로51길 111 2층
차니베어스테이션,37.5620214,126.9267463,"서울 마포구 동교로46길 42-4 1층, 2층"
카페테틈,37.5612791,126.9251562,서울 마포구 동교로36길 15 1-2층
사이드테이블,37.5632485,126.9248814,서울 마포구 동교로47길 3 3 B101
롭다,37.5616519,126.9245594,서울 마포구 동교로38길 4
디어온리,37.5634694,126.9269367,서울 마포구 동교로50길 17 1층
프롬딥그린,37.5634018,126.9183697,서울 마포구 연남로7길 38 1층 101호
파리구르멍,37.5614081,126.9218961,서울 마포구 연남로3길 10 1층
카페 연남색,37.5616346,126.9222207,서울 마포구 연남로 21 101호 카페 연남색
아사프,37.5621627,126.9237638,서울 마포구 동교로39길 10 1층
원모어프로포즈,37.5646327,126.9255279,서울 마포구 성미산로31길 13 1층
커피 그래피티 연남,37.5639625,126.9264474,서울 마포구 동교로 278 지층 커피 그래피티 연남
달콤다정,37.5621019,126.9261912,서울 마포구 동교로38길 33-21 2.5층 달콤다정
흐림,37.5611650,126.9260899,서울 마포구 연희로1길 51 3층
하유,37.5647679,126.9259904,서울 마포구 동교로51길 13 1층
메리마카롱,37.5614489,126.9258867,서울 마포구 동교로38길 33-6
그루비,37.5616321,126.9197103,서울 마포구 동교로27길 95 1층
댄싱케이크,37.5619339,126.9268450,서울 마포구 동교로46길 42-3 1층 101호
바람커피,37.5616219,126.9253179,서울 마포구 동교로38길 26-7 바람커피
벌스투,37.5602871,126.9211494,서울 마포구 동교로27길 54 1층 VERSE2
스프링베이커리,37.5623799,126.9268455,서울 마포구 성미산로 198 동진시장 스프링베이커리
프랭키클럽,37.5612674,126.9202637,서울 마포구 동교로27길 82 지하
올프로틴,37.5615622,126.9261685,서울 마포구 동교로38길 33-10 2층 올프로틴
화이트컨테이너,37.5649604,126.9230126,서울 마포구 성미산로 153-13
바잇미 연남점,37.5627778,126.9242522,서울 마포구 동교로41길 8 1층 바잇미
필로앤소피아,37.5634103,126.9242741,서울 마포구 동교로45길 15 102호
로스팅마스터즈 연남점,37.5598076,126.9215772,서울 마포구 동교로27길 44
메종미하벨,37.5650582,126.9216983,서울 마포구 성미산로29길 29-9 1층
얀 yawn,37.5609673,126.9246515,서울 마포구 동교로34길 6 1층
김보람 초콜릿 홍대연남점,37.5616477,126.9268527,서울 마포구 연희로 31 1층 김보람 초콜릿 홍대연남점
루온루온,37.5619394,126.9252976,서울 마포구 동교로38길 20 지층 101호
라헨느,37.5621164,126.9260460,서울 마포구 동교로46길 24-5 지하1층
서울도넛츠,37.5668068,126.9168973,서울 마포구 연남로13길 5 1층
르누아즈,37.5617500,126.9266703,서울 마포구 동교로46길 42-9 지층
카페일리터 연남점,37.5588083,126.9180796,서울 마포구 월드컵북로8길 3 1층
카페 레체,37.5626699,126.9257960,서울 마포구 동교로 262-13 3층 / 4층
메이크메리,37.5653144,126.9221571,서울 마포구 성미산로29길 30 2층
스프레드 서울 연남점,37.5634371,126.9225379,서울 마포구 성미산로26길 9 1층
마마즈돌,37.5620999,126.9258593,서울 마포구 동교로46길 24-2 1층 인형 숍 & 카페
로일즈,37.5653759,126.9220904,서울 마포구 성미산로29길 32 반지층 로일즈
루모스케이크,37.5659894,126.9225674,서울 마포구 동교로51길 81 1층
라온디,37.5638967,126.9265083,서울 마포구 동교로 278
세빠띠,37.5590615,126.9201338,서울 마포구 동교로25길 53 1층 세빠띠
시계,37.5622646,126.9262623,서울 마포구 동교로46길 27 1.5층
르프레,37.5655497,126.9190541,서울 마포구 연남로 73
레끌라,37.5631191,126.9255823,서울 마포구 동교로 266-6 2층 LECLAT
윤태익 다르다 심리카페,37.5642859,126.9194626,서울 마포구 연남로9길 11-15 501호
연남허니밀크,37.5619391,126.9268134,서울 마포구 동교로46길 42-3 102호
커밍케이크,37.5623348,126.9200965,서울 마포구 성미산로 118 1층
오군수제고로케 본점,37.5605150,126.9209170,서울 마포구 동교로27길 62
메가커피 연남숲길점,37.5610485,126.9241304,서울 마포구 동교로 235-1 1층
MIDNIGHT PLEASURE,37.5652776,126.9231184,서울 마포구 성미산로29안길 17
연남동 심리카페,37.5605786,126.9236809,서울 마포구 동교로 227-5 2층  심리카페
햄니케이크,37.5653146,126.9171190,서울 마포구 연남로11길 33 1층
nntt,37.5591893,126.9196083,서울 마포구 연남로1길 70 1층 엔엔티티
그리너리 테이블,37.5619572,126.9268540,서울 마포구 동교로46길 42-3 1층 그리너리테이블
파파도나스 연남점,37.5599143,126.9214860,서울 마포구 동교로27길 46 101호
달세뇨,37.5637288,126.9190207,서울 마포구 연남로7길 24 1.5층
카페단상,37.5649774,126.9225293,"서울 마포구 성미산로29길 20 101호, 연남동 주민센터 50m 이내, 예쁜 노란건물에 위치한 작고 예쁜공간"
포스트 케이크,37.5630716,126.9177715,서울 마포구 월드컵북로16길 64 1층
오롯스튜디오,37.5623580,126.9251043,서울 마포구 동교로38안길 17 202호
오후의작은선물,37.5597761,126.9179597,서울 마포구 동교로23길 98-7
오테라부띠끄,37.5611696,126.9218419,서울 마포구 연남로3길 13 1층
티하철,37.5619034,126.9267731,서울 마포구 동교로46길 42-5 2층 우측 202 티하철
미미베이커리,37.5618757,126.9267381,서울 마포구 동교로46길 42-5 102호
스위트가든 뽀아르,37.5627089,126.9264139,서울 마포구 성미산로 194 1층
미소식빵,37.5615648,126.9199521,서울 마포구 동교로27길 92 1층
별빛카페달빛차,37.5629478,126.9209762,서울 마포구 성미산로 128
THE WAV.,37.5663100,126.9197730,서울 마포구 성미산로23길 74 1층 더웨이브
연남온도,37.5650924,126.9226703,서울 마포구 성미산로29안길 7
빅프라페,37.5636951,126.9240876,서울 마포구 성미산로32길 18 101호
카페 시월,37.5619666,126.9187391,서울 마포구 성미산로 105 1층
카페피포에스,37.5627827,126.9254918,서울 마포구 동교로 262-8 1층
파리바게뜨 연남하늘채점,37.5630597,126.9215304,서울 마포구 연남로 42 (연남동)
스타게이즈 연남,37.5619250,126.9247569,서울 마포구 동교로38길 7 2층
Cafe flow,37.5606670,126.9206046,서울 마포구 연남로3길 40
키레네도시21C,37.5589911,126.9180770,서울 마포구 월드컵북로 48-3 1층
카페 소프트 연남,37.5585590,126.9188669,서울 마포구 동교로23길 64
위위클럽,37.5662333,126.9206138,서울 마포구 동교로51길 111-6 1층 단층주택
츄르릅,37.5620704,126.9266691,서울 마포구 동교로46길 42-6 지층
가나슈블랫,37.5613686,126.9194968,서울 마포구 동교로27길 93-7
앤디스커피 연남점,37.5625830,126.9249474,서울 마포구 동교로 256-4
아이얼오브,37.5596281,126.9181372,서울 마포구 성미산로16길 36
서치홀,37.5597119,126.9180567,서울 마포구 동교로23길 98-9
바람커피원두상점,37.5628681,126.9277089,서울 마포구 연희로 47 1층 102호
파스트팔레트 연남,37.5662722,126.9205545,서울 마포구 동교로51길 117-3
리틀프레스커피,37.5622176,126.9270670,서울 마포구 성미산로 198 리틀프레스커피
