,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N
529,월세,320,"3,000",71,B1/5,북동향,37.56251,126.924108,1136,16,1,266,3,0
530,월세,450,"5,000",81,1/5,북동향,37.564166,126.91916,964,24,0,159,3,0
531,월세,200,"3,000",66,3/4,남향,37.562702,126.924956,1417,15,1,258,3,0
532,월세,300,"3,000",33,B1/4,북동향,37.562458,126.925371,1153,13,1,254,3,0
533,월세,250,"3,000",54,3/4,북동향,37.56634,126.919972,877,17,0,125,4,1
534,월세,180,"2,000",53,2/3,동향,37.562103,126.926197,1140,12,1,231,3,0
535,월세,180,"3,000",33,2/3,북동향,37.560579,126.923681,1416,21,2,228,5,1
536,월세,145,"2,000",46,4/4,,37.562257,126.925545,1153,12,1,248,3,0
537,월세,350,"4,000",79,2/3,남향,37.562925,126.926168,1305,12,1,240,2,0
538,월세,490,"6,000",93,1/3,동향,37.561803,126.926469,1378,12,1,221,3,0
539,월세,220,"3,000",42,1/2,남동향,37.56285,126.926052,1302,12,1,240,2,0
540,월세,"1,000",1억,429,B1/4,남향,37.558704,126.918276,1710,42,2,45,4,0
541,월세,270,"3,500",78,B1/4,동향,37.560639,126.924758,1448,21,2,215,4,1
542,월세,"1,500",2억,323,1/4,동향,37.561382,126.924111,1514,21,1,255,5,1
543,월세,145,"2,500",36,B1/3,남서향,37.565725,126.923511,890,14,0,222,3,0
544,월세,50,"1,000",24,B1/2,남향,37.565184,126.923483,909,17,1,255,3,0
545,월세,100,"1,500",33,B1/2,서향,37.564368,126.917065,871,32,0,78,5,1
546,월세,274,"3,000",39,1/2,남향,37.56285,126.926052,1302,12,1,240,2,0
547,월세,130,"3,000",50,2/4,,37.562937,126.925977,1302,12,1,243,2,0
548,월세,230,"3,000",50,2/4,,37.562937,126.925977,1302,12,1,243,2,0
549,월세,300,"3,000",66,3/3,북동향,37.562925,126.926168,1305,12,1,240,2,0
550,월세,230,"3,000",45,1/1,동향,37.566215,126.920623,902,17,0,135,3,0
551,월세,121,"1,500",33,1/4,남동향,37.563199,126.926528,1124,10,1,230,2,0
552,월세,130,"2,000",26,B1/2,남서향,37.563097,126.925815,1344,12,1,243,2,0
553,월세,200,"3,000",34,1/2,남서향,37.560965,126.925299,1136,18,1,221,5,1
554,월세,90,"1,000",85,B1/4,북동향,37.563725,126.92614,1399,12,1,237,2,0
555,월세,350,"4,000",33,1/4,남향,37.561169,126.926094,1465,15,1,209,4,1
556,월세,270,"3,000",34,2/4,동향,37.561169,126.926094,1465,15,1,209,4,1
557,월세,400,"4,800",82,3/4,남동향,37.561169,126.926094,1465,15,1,209,4,1
558,월세,180,"1,500",46,1/2,남향,37.561586,126.91812,2303,29,0,83,5,0
559,월세,500,"7,000",115,1/5,동향,37.565563,126.92397,879,15,0,242,3,0
560,월세,200,"2,000",49,1/4,동향,37.560726,126.920469,953,31,1,156,6,0
561,월세,190,"3,500",52,1/5,,37.561109,126.920106,919,30,1,158,6,0
562,월세,150,"3,000",40,1/4,남향,37.56533,126.92412,902,16,1,250,3,0
563,월세,260,"3,000",66,B1/3,남향,37.56207,126.925007,1140,15,1,251,3,0
564,월세,140,"3,000",51,1/2,남향,37.565271,126.924641,910,15,1,248,3,0
565,월세,350,"5,000",98,2/4,남향,37.56554,126.923336,907,16,0,229,3,0
566,월세,243,"3,000",53,4/4,북서향,37.560639,126.924758,1448,21,2,215,4,1
567,월세,360,"5,000",78,B1/4,북동향,37.560639,126.924758,1448,21,2,215,4,1
568,월세,200,"3,000",50,1/6,동향,37.566864,126.917161,1183,16,0,47,3,1
569,월세,160,"2,000",39,4/4,북동향,37.562873,126.92542,1338,13,1,251,2,0
570,월세,130,"2,000",39,1/4,남서향,37.563381,126.926123,1441,12,1,240,2,0
571,월세,350,"5,000",82,1/4,남서향,37.56554,126.923336,907,16,0,229,3,0
572,월세,160,"2,000",37,1/5,북동향,37.562355,126.920091,2317,30,1,222,3,0
573,월세,450,"5,000",98,1/5,동향,37.55927,126.921055,1876,38,3,112,8,1
574,월세,120,"2,000",22,1/4,동향,37.562053,126.921427,1052,23,1,284,3,0
575,월세,270,"3,000",36,1/3,남동향,37.561866,126.924503,1359,19,1,257,4,0
576,월세,400,"5,000",175,1/4,동향,37.565089,126.923774,902,17,1,258,3,0
577,월세,200,"2,400",33,3/4,남동향,37.561169,126.926094,1465,15,1,209,4,1
578,월세,150,"1,800",21,4/4,남동향,37.561169,126.926094,1465,15,1,209,4,1
579,월세,320,"5,000",95,2/3,동향,37.56485,126.92331,909,18,1,267,3,0
580,월세,190,"3,500",49,1/5,북동향,37.561109,126.920106,919,30,1,158,6,0
581,월세,470,"6,500",95,B1/3,동향,37.56485,126.92331,909,18,1,267,3,0
582,월세,250,"4,000",77,2/4,남서향,37.562116,126.925874,1140,13,1,238,3,0
583,월세,120,"2,000",21,1/5,남동향,37.563944,126.92455,943,15,1,266,3,0
584,월세,120,"2,000",21,1/4,동향,37.562053,126.921427,1052,23,1,284,3,0
585,월세,250,"3,000",37,B1/4,남동향,37.561169,126.926094,1465,15,1,209,4,1
586,월세,470,"6,500",95,B1/3,서향,37.56485,126.92331,909,18,1,267,3,0
587,월세,350,"4,000",80,2/3,남서향,37.562925,126.926168,1305,12,1,240,2,0
588,월세,200,"3,000",46,2/4,남향,37.562937,126.925977,1302,12,1,243,2,0
589,월세,470,"6,500",95,1/3,,37.56485,126.92331,909,18,1,267,3,0
590,월세,700,1억,102,1/5,남향,37.563736,126.925642,1506,14,1,247,2,0
591,월세,130,"2,000",46,4/4,북서향,37.562257,126.925545,1153,12,1,248,3,0
592,월세,220,"3,000",82,2/4,북동향,37.559796,126.921363,1037,36,3,150,8,1
593,월세,250,"3,000",76,2/4,,37.562161,126.925222,1156,14,1,249,3,0
594,월세,"1,500",2억,323,1/4,남동향,37.561382,126.924111,1514,21,1,255,5,1
595,월세,350,"3,000",113,3/4,,37.562161,126.925222,1156,14,1,249,3,0
596,월세,"1,020","1억 2,000",347,1/5,북동향,37.564166,126.91916,964,24,0,159,3,0
597,월세,450,"5,000",132,1/5,북동향,37.564166,126.91916,964,24,0,159,3,0
598,월세,"1,550","2억 1,000",56,3/3,남서향,37.56485,126.92331,909,18,1,267,3,0
599,월세,230,"3,000",71,2/3,북향,37.561069,126.924555,1509,20,1,240,5,1
600,월세,150,"3,000",43,1/3,남향,37.566314,126.91697,904,20,0,53,4,1
601,월세,260,"4,000",81,B1/4,북동향,37.563093,126.925582,1338,13,1,246,2,0
602,월세,120,"1,000",22,1/3,남동향,37.562338,126.924051,1273,16,1,265,3,0
603,월세,170,"2,000",43,B1/2,서향,37.560927,126.924949,1600,18,1,224,5,1
604,월세,186,"3,000",19,1/2,북동향,37.562159,126.926715,1420,11,1,217,3,0
605,월세,160,"2,500",28,3/3,남향,37.562103,126.926197,1140,12,1,231,3,0
606,월세,400,"5,000",75,1/3,북동향,37.562528,126.924938,1161,15,1,258,3,0
607,월세,210,"3,000",29,B1/2,북동향,37.561905,126.924974,1140,17,1,249,3,0
608,월세,300,"4,000",38,1/4,북향,37.561941,126.925084,1239,16,1,249,3,0
609,월세,200,"3,000",49,1/6,동향,37.566864,126.917161,1183,16,0,47,3,1
610,월세,230,"3,500",56,3/3,동향,37.56485,126.92331,909,18,1,267,3,0
611,월세,320,"5,000",95,2/3,동향,37.56485,126.92331,909,18,1,267,3,0
612,월세,"1,100",1억,205,1/5,남향,37.563736,126.925642,1506,14,1,247,2,0
613,월세,430,"6,000",95,1/3,동향,37.56485,126.92331,909,18,1,267,3,0
614,월세,900,"9,000",230,B1/5,남향,37.563736,126.925642,1506,14,1,247,2,0
615,월세,470,"6,500",95,B1/3,동향,37.56485,126.92331,909,18,1,267,3,0
